global_t_start,global_t_end,interval,real_time_start,real_time_end,iteration,current_time_start,current_time_end,rgap_time,tot_tt,tot_tt_current,tot_domand,tot_vehicles,cpu_time,total_paths,unique_paths,k_paths
420,450,0,420,450,0,420,450,,66668.54589674989,66668.54589674989,24062.286123628957,0,7.91 s,6498,3249,1
420,450,0,420,450,1,420,450,,166169.57493932714,66668.54589674989,24062.286123628954,235,15.3 s,12996,8908,2
420,450,0,420,450,2,420,450,0.9609666946470191,72942.47588740713,84738.60131991596,24062.286123628957,0,19.8 s,12996,8908,2
420,450,0,420,450,3,420,450,0.1870270714535598,68165.67655690505,61449.71554699784,24062.286123628957,0,24.2 s,12996,8908,2
