fid,id,o,d,value,timestamp,day_type,mode
128,1203,1001213,10,0.37232277,870,weekday,c
129,1218,1001261,10061628,0.016462807,1365,weekday,c
130,1242,1001204,1001262,0.032897264,150,weekday,c
131,1248,1001261,6,2.3333743,705,weekday,c
132,1282,1001207,13,0.01540606,90,weekday,c
133,1295,1001240,42374,3.2344003e-06,120,weekday,c
134,1311,1001242,1001240,0.0039473334,615,weekday,c
135,1312,2,4,2.259405,600,weekday,c
136,1324,8,10,3.2404485,945,weekday,c
137,1325,60292,1001206,0.45267963,750,weekday,c
138,1341,1001211,12,4.6555147,480,weekday,c
139,1359,1001253,1001256,0.7060582,825,weekday,c
140,1362,1001261,1001254,0.33896804,1080,weekday,c
141,1401,1001254,42374,0.05057106,615,weekday,c
142,1402,60292,1001261,0.39455113,900,weekday,c
143,1409,4,1001243,0.29242843,1395,weekday,c
144,1411,1001204,1001244,0.04411621,630,weekday,c
145,1414,1001243,1001218,0.008352289,180,weekday,c
146,1415,1001213,1001240,0.010704724,585,weekday,c
147,1416,60292,1001262,0.23026523,540,weekday,c
148,1420,1001266,6,9.254008,555,weekday,c
149,1430,1001239,1001214,0.009902674,675,weekday,c
150,1452,13,15,37.32269,615,weekday,c
151,1469,2,1001261,2.474108,555,weekday,c
152,1474,1001254,1001241,0.49930263,675,weekday,c
153,1481,4,1001212,1.0721463,1095,weekday,c
154,1555,1001218,10,1.0291483,540,weekday,c
155,1591,1001218,10,1.0055329,825,weekday,c
156,1595,10,4,0.028498374,75,weekday,c
157,1602,1001207,1001216,0.0066950154,120,weekday,c
158,1606,12,1001253,2.9349322,690,weekday,c
159,1612,1001242,1001216,0.04147655,1320,weekday,c
160,1613,46751,13,0.021154722,1395,weekday,c
161,1644,10,1001256,1.9884155,885,weekday,c
162,1649,11,1001253,0.010942991,1425,weekday,c
163,1661,1001206,1001202,0.0887121,285,weekday,c
164,1673,2,1001212,26.988255,780,weekday,c
165,1683,1001206,1001211,0.022086402,135,weekday,c
166,1689,1001203,13,1.4829484,420,weekday,c
167,1695,3,1001255,1.2321677,480,weekday,c
168,1696,1001255,1001202,0.39160705,1095,weekday,c
169,1708,1001255,12,0.1086025,255,weekday,c
170,1740,1001206,46751,0.11062013,195,weekday,c
171,1742,1001213,42374,0.0008563789,225,weekday,c
172,1751,1001240,1001216,0.051524203,720,weekday,c
173,1759,1001240,1001217,0.018187048,480,weekday,c
174,1782,60232,1001256,1.6835254,585,weekday,c
175,1783,60292,12,0.0021035068,60,weekday,c
176,1784,60292,1001213,0.4477357,570,weekday,c
177,1800,1001204,2,0.4818571,225,weekday,c
178,1809,15,1001239,0.067755,1380,weekday,c
179,1813,8,1001261,0.004584946,120,weekday,c
180,1816,6,2,0.27854264,240,weekday,c
181,1819,1001203,1001212,0.07999933,150,weekday,c
182,1826,42374,1001244,0.0005992761,510,weekday,c
183,1829,1001267,42374,1.659207e-05,1380,weekday,c
184,1837,60292,60232,0.2404965,750,weekday,c
185,1844,14,1001266,0.24442548,1380,weekday,c
186,1850,1001218,1001202,1.5564649,435,weekday,c
187,1854,1,1001202,26.891443,915,weekday,c
188,1858,1001241,1001267,0.061713062,390,weekday,c
189,1904,1,12,12.499984,1080,weekday,c
190,1911,13,1001266,4.792845,600,weekday,c
191,1912,1001206,1001208,0.0033910957,165,weekday,c
192,1914,1001253,1001207,0.08450783,375,weekday,c
193,1920,8,1001261,0.28513256,810,weekday,c
194,1931,1001240,1001262,0.0025970598,1320,weekday,c
195,1938,1001266,1001217,4.9581156,1125,weekday,c
196,1944,1001216,15,2.491445,270,weekday,c
197,1955,1001243,1001206,0.2766821,1035,weekday,c
198,1961,3,1001216,37.278595,660,weekday,c
199,1976,8,2,0.009379707,1410,weekday,c
200,1987,3,1001217,60.771835,615,weekday,c
201,1999,3,1001262,1.0559591,330,weekday,c
202,2014,1001204,3,80.184814,825,weekday,c
203,2018,1001205,60232,0.061455335,330,weekday,c
204,2023,7,1001253,3.844474,300,weekday,c
205,2028,1001213,60292,0.09685807,1275,weekday,c
206,2061,1,12,49.57352,465,weekday,c
207,2082,1001204,1001211,1.607319,1155,weekday,c
208,2089,1001254,1001217,0.32481942,1290,weekday,c
209,2102,1001217,1001242,0.61372364,1005,weekday,c
210,2108,1,1001211,8.407084,225,weekday,c
211,2119,1001205,12,0.020219164,45,weekday,c
212,2121,1001242,1001206,0.10243013,945,weekday,c
213,2122,1001262,1001204,1.0472826,750,weekday,c
214,2128,11,1001267,0.017124545,255,weekday,c
215,2139,1001213,1001208,0.0018381478,120,weekday,c
216,2158,1001262,1001261,0.01275314,1290,weekday,c
217,2168,1001244,1001241,0.018710913,540,weekday,c
218,2178,10,2,0.1959764,480,weekday,c
219,2193,1001244,4,0.00078679866,1320,weekday,c
220,2195,1001217,1001204,0.30321842,240,weekday,c
221,2204,1001214,1001239,0.00011650055,60,weekday,c
222,2213,13,1001202,6.653867,570,weekday,c
223,2227,1001217,1,156.44962,975,weekday,c
224,2247,1001244,1001206,0.04565177,540,weekday,c
225,2248,15,1001242,0.39214218,1275,weekday,c
226,2251,14,1001213,1.3099676,825,weekday,c
227,2256,1001211,1001208,0.00063397846,15,weekday,c
228,2257,1001207,1001216,0.2898012,690,weekday,c
229,2279,3,1001241,0.3363001,1410,weekday,c
230,2310,1001204,42374,0.055708986,450,weekday,c
231,2313,1001240,1001216,0.13199328,1050,weekday,c
232,2320,8,1001241,0.922663,1050,weekday,c
233,2343,1001206,8,0.0016222365,45,weekday,c
234,2360,1001211,1001253,2.896368,1125,weekday,c
235,2374,60232,1001206,0.17762798,1230,weekday,c
236,2384,46751,1001212,0.11756298,105,weekday,c
237,2425,14,1001267,0.010323928,1395,weekday,c
238,2432,2,12,16.398252,495,weekday,c
239,2446,10,1001218,1.411144,1050,weekday,c
240,2461,1001253,1001217,1.5077908,1125,weekday,c
241,2475,1001253,1001217,0.44331384,1260,weekday,c
242,2478,1001243,10,0.9157984,1065,weekday,c
243,2479,1001212,16,7.8892856,330,weekday,c
244,2495,42374,1,0.0015861172,0,weekday,c
245,2508,1001241,1001202,0.006410128,45,weekday,c
246,2535,3,1001207,0.005227602,45,weekday,c
247,2536,1001217,1001240,0.002672081,1335,weekday,c
248,2551,4,1001239,0.18803965,435,weekday,c
249,2594,1001211,1001205,0.7021616,540,weekday,c
250,2611,7,1001239,0.006903974,705,weekday,c
251,2614,1001254,1001211,0.062896386,1410,weekday,c
252,2618,42374,3,0.0069890716,375,weekday,c
253,2664,4,60232,0.42547342,315,weekday,c
254,2673,4,1001253,7.9251943,1260,weekday,c
255,2675,8,1001240,1.9256388e-06,30,weekday,c
256,2678,1001244,1001207,0.0028911354,630,weekday,c
257,2698,1001256,6,0.15043575,1275,weekday,c
258,2714,3,1001204,52.99303,780,weekday,c
259,2716,60292,1001240,0.00024602248,705,weekday,c
260,2720,1001262,15,0.6984668,255,weekday,c
261,2725,7,1001255,1.7493237,840,weekday,c
262,2731,1001217,1001254,1.834983,465,weekday,c
263,2737,4,1001262,0.7347967,570,weekday,c
264,2760,1001208,1001204,0.27166376,630,weekday,c
265,2773,1,1001267,2.9238045,300,weekday,c
266,2805,42374,12,0.00017165019,1380,weekday,c
267,2813,1001205,1001256,1.6327417,1020,weekday,c
268,2826,1001206,8,0.26654598,975,weekday,c
269,2828,13,1,5.13334,885,weekday,c
270,2836,16,1001208,17.27116,660,weekday,c
271,2841,14,1001207,0.35812193,870,weekday,c
272,2882,1001254,1001212,1.3313291,405,weekday,c
273,2889,1001254,1001204,0.048675805,1425,weekday,c
274,2910,1001244,1001207,0.0025384808,765,weekday,c
275,2913,1001253,8,0.21065044,1185,weekday,c
276,2923,11,1001255,0.00039599632,15,weekday,c
277,2929,1001211,1001212,2.8927088,570,weekday,c
278,2949,1001204,1001243,0.15019554,315,weekday,c
279,2972,8,1001241,0.38057274,735,weekday,c
280,2975,1001216,1001253,1.7773633,660,weekday,c
281,2995,1001214,1001254,0.22138456,945,weekday,c
282,2998,1001239,46751,0.0010806706,1320,weekday,c
283,3001,1001217,1001261,0.031764917,1410,weekday,c
284,3003,1001261,1001267,0.0037057425,225,weekday,c
285,3013,3,16,38.43405,900,weekday,c
286,3024,1001204,1,5.721697,270,weekday,c
287,3028,1001212,46751,0.67217535,270,weekday,c
288,3033,60292,1001203,0.3253138,1245,weekday,c
289,3035,1001211,12,0.6527155,1365,weekday,c
290,3043,1001218,1001217,1.1196047,1050,weekday,c
291,3047,1001256,1001214,0.048225325,1230,weekday,c
292,3049,1001212,1001218,0.57160395,420,weekday,c
293,3098,1001216,1001208,0.0074766506,75,weekday,c
294,3101,1001239,1001207,0.0030608282,975,weekday,c
295,3123,1001216,1001207,0.29908228,735,weekday,c
296,3128,42374,2,0.95004076,345,weekday,c
297,3135,1001243,8,0.032186206,255,weekday,c
298,3138,1001205,1001202,0.4909157,930,weekday,c
299,3157,1001216,1001202,3.3539507,1035,weekday,c
300,3168,1001244,16,0.051834695,1140,weekday,c
301,3175,13,1001239,0.34540942,1200,weekday,c
302,3182,1001203,1001204,0.009254181,30,weekday,c
303,3189,1001212,1001207,0.23071715,900,weekday,c
304,3190,60292,3,8.741889,405,weekday,c
305,3195,2,1001207,0.5994341,375,weekday,c
306,3228,1001255,4,8.641844,765,weekday,c
307,3229,46751,1,1.8492845,1380,weekday,c
308,3245,60292,1001267,0.02060961,1185,weekday,c
309,3252,1001255,4,1.0920058,1275,weekday,c
310,3263,1001206,1001262,0.1172434,375,weekday,c
311,3268,60292,60232,0.25418904,1140,weekday,c
312,3280,1001254,1001243,0.0070917136,1425,weekday,c
313,3283,1001256,1001206,0.7129698,375,weekday,c
