fid,id,o,d,value,timestamp,day_type,mode
44330,477457,1001211,60232,14.772363,1185,weekday,c
44331,477468,60292,1001253,0.6435997,615,weekday,c
44332,477469,1001240,10061628,0.0012216532,330,weekday,c
44333,477475,60292,1001254,0.48273778,375,weekday,c
44334,477476,2,1001206,2.8877108,1170,weekday,c
44335,477490,1001218,1001213,0.02235941,225,weekday,c
44336,477496,60292,1001213,0.019376727,195,weekday,c
44337,477504,1001243,60232,0.575003,780,weekday,c
44338,477531,16,1001216,17.817362,1185,weekday,c
44339,477545,1001212,1001214,1.3814026,885,weekday,c
44340,477546,1001204,1001211,0.7696157,1230,weekday,c
44341,477564,6,1001256,0.1836307,315,weekday,c
44342,477578,7,1001254,10.67271,1065,weekday,c
44343,477588,1001202,1001255,0.389014,1260,weekday,c
44344,477593,1001218,7,10.296401,1140,weekday,c
44345,477612,16,1001206,0.4956324,105,weekday,c
44346,477626,1001216,1001213,1.0966828,795,weekday,c
44347,477628,1001203,7,4.7774167,1335,weekday,c
44348,477641,1001204,1001212,2.3609514,435,weekday,c
44349,477645,1001214,1001255,0.0122912405,300,weekday,c
44350,477647,1001254,3,0.063148364,135,weekday,c
44351,477655,1001203,3,78.20994,1155,weekday,c
44352,477666,2,1001266,1.7984488,225,weekday,c
44353,477671,42374,1001211,0.0033380634,285,weekday,c
44354,477672,15,1001216,22.545666,420,weekday,c
44355,477674,1001254,13,2.6489375,1050,weekday,c
44356,477680,1001242,1001239,0.000100643716,1395,weekday,c
44357,477684,1001256,8,0.6907304,630,weekday,c
44358,477685,1001206,12,0.30245712,885,weekday,c
44359,477694,1001211,1001207,0.0038941156,150,weekday,c
44360,477709,7,60232,0.699204,765,weekday,c
44361,477714,60292,1001254,0.64665323,405,weekday,c
44362,477717,1001203,1001205,0.5099037,1155,weekday,c
44363,477726,1001206,1001242,0.00090191467,45,weekday,c
44364,477730,1001262,1001213,0.18726596,870,weekday,c
44365,477749,60292,15,0.26031047,180,weekday,c
44366,477751,1001214,1001261,0.016486045,1245,weekday,c
44367,477784,1001208,1001216,0.9520468,840,weekday,c
44368,477787,1001243,1,9.162403,600,weekday,c
44369,477789,1001267,6,4.7892354e-05,90,weekday,c
44370,477807,1001240,1001239,0.000304289,1005,weekday,c
44371,477809,1001239,60292,0.0024040742,525,weekday,c
44372,477817,16,46751,8.285679,660,weekday,c
44373,477819,1001202,46751,0.100460455,120,weekday,c
44374,477838,1001255,1001212,0.9452495,840,weekday,c
44375,477878,13,1001205,1.5096593,855,weekday,c
44376,477884,14,42374,0.30897015,525,weekday,c
44377,477897,1001240,12,2.4323332e-05,1320,weekday,c
44378,477916,1001244,3,0.46338376,975,weekday,c
44379,477933,1001212,8,1.1178303,600,weekday,c
44380,477944,60232,1001217,2.1553173,1125,weekday,c
44381,477945,15,6,6.958263,780,weekday,c
44382,477982,1001239,8,0.000726361,1110,weekday,c
44383,477991,7,1001202,22.599253,345,weekday,c
44384,477997,16,1001256,6.9531326,795,weekday,c
44385,478006,7,1001213,14.575749,405,weekday,c
44386,478019,1001244,1001211,0.042694062,615,weekday,c
44387,478027,14,13,1128.2483,975,weekday,c
44388,478037,15,5,0.40661407,945,weekday,c
44389,478055,1001244,1001208,0.0061024684,960,weekday,c
44390,478059,1001267,1001208,0.0009897288,585,weekday,c
44391,478065,6,1001206,0.6320522,1305,weekday,c
44392,478075,1001239,60292,0.0001700383,1260,weekday,c
44393,478084,3,60292,19.17899,570,weekday,c
44394,478087,46751,1001214,0.007233878,30,weekday,c
44395,478106,1001208,1001204,0.03412558,270,weekday,c
44396,478119,1,1001267,10.29721,630,weekday,c
44397,478123,1001217,1001239,0.005758362,555,weekday,c
44398,478130,1001211,10,3.716332,450,weekday,c
44399,478135,1001241,1001242,0.005357384,225,weekday,c
44400,478140,1001241,2,0.01128571,60,weekday,c
44401,478149,7,60232,0.030471789,1380,weekday,c
44402,478153,1001217,1001207,0.01094445,1380,weekday,c
44403,478155,1001204,1001212,0.03557871,60,weekday,c
44404,478168,16,1001261,4.7568946,1170,weekday,c
44405,478186,1001244,1001218,0.0025654603,1200,weekday,c
44406,478189,1001206,1001240,0.006259896,345,weekday,c
44407,478227,1001256,10061628,0.48988023,360,weekday,c
44408,478228,1001242,4,0.027643897,165,weekday,c
44409,478229,1001212,1001206,0.8216417,360,weekday,c
44410,478267,16,1001202,17.896896,1170,weekday,c
44411,478268,16,8,0.53264695,1260,weekday,c
44412,478269,1001208,1001243,0.106784,1185,weekday,c
44413,478284,14,1001208,0.12302603,225,weekday,c
44414,478288,1001216,4,2.2227197,1200,weekday,c
44415,478304,1001206,1001254,0.025561195,1425,weekday,c
44416,478305,60232,1,0.4691487,135,weekday,c
44417,478310,16,8,4.660882,600,weekday,c
44418,478311,1001243,1001254,0.38055915,915,weekday,c
44419,478321,60232,1001241,0.21366788,780,weekday,c
44420,478323,1001213,12,0.3242918,750,weekday,c
44421,478327,11,46751,0.18713169,930,weekday,c
44422,478336,14,42374,0.15382133,855,weekday,c
44423,478342,14,1001205,0.038574062,120,weekday,c
44424,478367,4,1001240,0.15924929,315,weekday,c
44425,478368,1001244,1001204,0.05259093,825,weekday,c
44426,478371,1001208,1001216,0.033168025,210,weekday,c
44427,478378,3,8,0.26047316,765,weekday,c
44428,478410,16,1001266,8.4891405,270,weekday,c
44429,478411,1001256,1001241,0.1402998,1215,weekday,c
44430,478416,42374,1001262,0.001147843,1410,weekday,c
44431,478419,2,1001240,0.027779702,1320,weekday,c
44432,478430,1001240,1001214,0.02268341,870,weekday,c
44433,478438,1001253,1001256,0.7404079,840,weekday,c
44434,478444,1001267,5,3.0877876,495,weekday,c
44435,478445,3,1001217,0.6697595,75,weekday,c
44436,478453,1,10061628,0.16962099,615,weekday,c
44437,478458,4,3,0.0015297506,750,weekday,c
44438,478462,14,1001242,0.03332621,1230,weekday,c
44439,478466,1001261,1001267,0.027219348,990,weekday,c
44440,478472,46751,1001240,0.079377316,435,weekday,c
44441,478498,1001253,1001243,0.22944495,645,weekday,c
44442,478508,1001266,2,1.0171021,1395,weekday,c
44443,478516,1001202,1001206,0.1391956,1260,weekday,c
44444,478518,2,1001203,1.6451535,1260,weekday,c
44445,478525,1001205,42374,0.0037039944,1200,weekday,c
44446,478537,8,1001206,0.32301873,1065,weekday,c
44447,478539,1001218,1001244,4.342165e-05,45,weekday,c
44448,478565,1001267,1001244,0.00025874883,270,weekday,c
44449,478566,1001255,10061628,0.22047609,1110,weekday,c
44450,478570,1001242,1001211,0.53527254,510,weekday,c
44451,478575,1001203,6,11.6312,1260,weekday,c
44452,478585,60292,5,2.6157739e-05,45,weekday,c
44453,478602,1001204,1001207,0.29877248,975,weekday,c
44454,478603,16,1001207,0.319627,210,weekday,c
44455,478606,1001207,1001204,0.054627698,1245,weekday,c
44456,478615,1001216,1001202,7.257099,600,weekday,c
44457,478618,16,4,16.66474,585,weekday,c
44458,478623,1001218,1001243,0.21513726,885,weekday,c
44459,478633,1001216,1001254,2.039425,735,weekday,c
44460,478640,15,1001266,87.14218,525,weekday,c
44461,478647,7,1001213,0.2476222,120,weekday,c
44462,478664,7,1001214,1.097533,1005,weekday,c
44463,478670,1001208,1001205,0.1967336,930,weekday,c
44464,478676,1001217,1001242,0.03743398,270,weekday,c
44465,478678,1001213,1001217,0.022699725,135,weekday,c
44466,478684,1001253,42374,0.0032177644,210,weekday,c
44467,478687,1001211,1001216,3.2522643,450,weekday,c
44468,478692,1001211,8,0.0149957435,150,weekday,c
44469,478706,3,60232,8.216324,1095,weekday,c
44470,478707,1001214,60292,0.2736059,450,weekday,c
44471,478709,4,1001216,3.5951066,1200,weekday,c
44472,478716,1001203,16,20.86405,1275,weekday,c
44473,478717,1001217,15,110.70126,960,weekday,c
44474,478731,1001211,12,3.7357075,435,weekday,c
44475,478739,1001266,1001206,0.60036755,360,weekday,c
44476,478747,1001239,1001267,0.00043165858,855,weekday,c
44477,478750,1001206,6,2.457787,1275,weekday,c
44478,478751,1001205,13,0.032090567,135,weekday,c
44479,478820,15,6,8.144435,900,weekday,c
44480,478839,1001218,1001244,0.0025247727,1215,weekday,c
44481,478855,1001243,1001213,0.10875079,405,weekday,c
44482,478862,1001242,6,0.038871,345,weekday,c
44483,478863,16,1001261,6.3975453,750,weekday,c
44484,478889,14,1001206,3.0772085,810,weekday,c
44485,478890,1001255,1001240,0.026435696,375,weekday,c
44486,478896,1001204,1001244,0.04260386,615,weekday,c
44487,478907,42374,1001206,0.031207664,990,weekday,c
44488,478908,1001255,5,0.0023414227,105,weekday,c
44489,478909,16,1001243,11.450989,900,weekday,c
44490,478911,13,1001212,15.116887,960,weekday,c
44491,478917,15,7,2.0720227,540,weekday,c
44492,478930,1001207,1001205,0.057940945,555,weekday,c
44493,478931,1001213,42374,0.0055741086,1095,weekday,c
44494,478941,1001216,1001208,0.18999645,300,weekday,c
44495,478959,1001253,1001218,0.35175326,1185,weekday,c
44496,478962,1001266,3,1.14983,1350,weekday,c
44497,478966,1001214,1001207,0.00081260013,120,weekday,c
44498,478967,1001255,1001207,0.11051703,495,weekday,c
44499,479039,15,1001253,13.353682,1155,weekday,c
44500,479046,1001208,60292,0.121794835,450,weekday,c
44501,479070,1001267,1001243,0.0018406403,1380,weekday,c
44502,479081,1001214,1001243,0.11280043,450,weekday,c
44503,479083,1001217,1001241,3.873558,1020,weekday,c
44504,479093,1001242,1001267,0.01293288,405,weekday,c
44505,479095,1001216,1001206,3.8492713,570,weekday,c
44506,479102,1001262,1001204,0.2044496,270,weekday,c
44507,479103,1001254,10,0.049610544,1425,weekday,c
44508,479112,15,1001211,11.583234,1245,weekday,c
44509,479113,42374,1001241,0.00242093,285,weekday,c
44510,479134,14,1001239,0.14833583,270,weekday,c
44511,479136,42374,1001211,0.02330636,765,weekday,c
44512,479163,1001211,1,108.52164,765,weekday,c
44513,479171,60232,1001207,0.027783131,705,weekday,c
44514,479176,46751,1001241,0.0064198207,1410,weekday,c
44515,479178,1,1001244,1.3908591,1155,weekday,c
44516,479182,1001213,60232,0.6611674,705,weekday,c
44517,479186,16,1001204,4.186139,1320,weekday,c
44518,479193,1001244,10061628,3.0950796e-05,210,weekday,c
44519,479203,1001212,1001211,3.814143,855,weekday,c
44520,479209,1001243,1001212,0.016162734,135,weekday,c
44521,479216,1001218,8,1.1445554,480,weekday,c
44522,479233,8,1001208,0.0031487388,495,weekday,c
44523,479246,1001211,60232,0.083306715,15,weekday,c
44524,479252,11,42374,0.0016443852,1320,weekday,c
44525,479258,1001241,1001261,0.3727156,990,weekday,c
44526,479264,1001218,2,0.8398569,480,weekday,c
44527,479280,1001213,1001218,0.5971398,1050,weekday,c
44528,479285,1001262,60292,0.2769037,825,weekday,c
44529,479287,1,1001261,16.320889,480,weekday,c
44530,479289,1001217,13,4.2761273,870,weekday,c
44531,479297,46751,8,0.009848228,405,weekday,c
44532,479302,1001212,1,59.43743,555,weekday,c
44533,479305,1001241,3,19.718378,930,weekday,c
44534,479309,1001204,1001218,1.0875608,585,weekday,c
44535,479346,7,1001207,0.75563675,1065,weekday,c
44536,479374,1001207,1001216,0.0808615,360,weekday,c
44537,479375,1001204,1001206,0.004990796,0,weekday,c
44538,479410,1001217,1001262,1.0168822,705,weekday,c
44539,479429,8,12,2.3035886,840,weekday,c
44540,479453,1001204,1001261,0.04923058,1380,weekday,c
44541,479467,7,1001213,0.06610796,15,weekday,c
44542,479473,1001266,1001242,0.14253369,420,weekday,c
44543,479477,12,1001208,0.8914287,930,weekday,c
44544,479485,1001239,46751,0.00021870667,1425,weekday,c
44545,479503,60232,13,0.77815115,1095,weekday,c
44546,479521,1001256,1001253,0.80444264,945,weekday,c
44547,479526,1001255,1001254,0.16827306,1125,weekday,c
44548,479529,1001244,1001242,0.0036191933,510,weekday,c
44549,479532,11,1001213,0.0018720481,1335,weekday,c
44550,479535,1001217,1001218,3.12165,1095,weekday,c
44551,479570,42374,15,0.02575992,1410,weekday,c
44552,479576,12,1001202,3.1700647,885,weekday,c
44553,479585,1001253,1,0.6894248,120,weekday,c
44554,479588,1001255,1001211,1.4765658,540,weekday,c
44555,479592,1001202,1001217,2.7598732,675,weekday,c
44556,479595,1001243,46751,1.120031,795,weekday,c
44557,479599,1001266,3,8.762703,450,weekday,c
44558,479604,1001218,1001202,0.8763526,885,weekday,c
44559,479606,1001239,1001242,0.00068292394,360,weekday,c
44560,479607,1001214,1001218,0.0793748,390,weekday,c
44561,479608,1001242,1001208,0.025612444,855,weekday,c
44562,479630,4,10,0.03421969,90,weekday,c
44563,479641,1001244,60232,0.008556807,1245,weekday,c
44564,479645,1001243,1001239,4.291195e-05,0,weekday,c
44565,479651,1001256,1001216,0.005693142,0,weekday,c
44566,479673,15,7,9.714078,975,weekday,c
44567,479691,1001240,1001244,0.00011572234,300,weekday,c
44568,479700,1001239,1001217,0.0006629471,225,weekday,c
44569,479716,1001244,1,0.6380259,1170,weekday,c
44570,479734,1001207,2,0.94748294,810,weekday,c
44571,479736,1001217,1001262,0.60508215,1230,weekday,c
44572,479738,12,1001203,0.2795235,135,weekday,c
44573,479743,1001266,1001204,0.024824126,30,weekday,c
44574,479764,1001218,16,3.5456486,390,weekday,c
44575,479767,1001202,1001267,0.0119528435,1140,weekday,c
44576,479768,1001203,8,0.11439204,780,weekday,c
44577,479769,1,1001266,54.51048,750,weekday,c
44578,479776,1001214,1001266,0.57432896,990,weekday,c
44579,479779,16,1001206,26.10957,705,weekday,c
44580,479797,1001217,60232,1.5405566,390,weekday,c
44581,479828,1001203,1001266,0.45284396,315,weekday,c
44582,479853,1001262,8,0.068187244,270,weekday,c
44583,479863,1001266,1001218,0.80227256,1200,weekday,c
44584,479895,2,1,24.10272,240,weekday,c
44585,479911,1001244,1001217,0.035467524,1080,weekday,c
44586,479927,15,3,30.320662,1335,weekday,c
44587,479947,42374,1001211,0.009849769,375,weekday,c
44588,479948,42374,1001216,0.27159786,870,weekday,c
44589,479953,1001216,6,61.63498,825,weekday,c
44590,479961,1001207,1001242,0.008484897,630,weekday,c
44591,479967,1001203,1001212,0.17527105,225,weekday,c
44592,479968,2,1001211,0.43489724,165,weekday,c
44593,479971,2,15,7.4387603,240,weekday,c
44594,479994,1001202,60232,0.51224923,1140,weekday,c
44595,479999,1001213,1001256,0.012692451,1410,weekday,c
44596,480017,1001203,1001216,13.418834,885,weekday,c
44597,480031,7,1001204,25.308075,1080,weekday,c
44598,480039,1001216,1001254,0.8655747,1185,weekday,c
44599,480045,1001212,16,1.6445225,1380,weekday,c
44600,480058,1001267,1001241,0.03845336,585,weekday,c
44601,480062,1001241,1001204,1.0426241,870,weekday,c
44602,480068,6,3,1.2411163,495,weekday,c
44603,480075,15,1001262,1.7172061,1260,weekday,c
44604,480092,1001253,16,13.9776,1005,weekday,c
44605,480095,1001256,1001202,0.59823793,1140,weekday,c
44606,480113,1001267,1001208,0.00071221247,810,weekday,c
44607,480116,1001240,60292,0.00026115053,735,weekday,c
44608,480130,1001254,1001218,0.015883263,150,weekday,c
44609,480136,60232,13,1.8599378,735,weekday,c
44610,480144,60292,1001216,0.3716138,1290,weekday,c
44611,480147,1001206,1001266,0.8300903,525,weekday,c
44612,480153,1001253,4,2.8880806,1275,weekday,c
44613,480159,1001255,1001208,0.0464807,1170,weekday,c
44614,480172,1001203,12,9.123063,660,weekday,c
44615,480176,13,1001244,0.090046465,825,weekday,c
44616,480225,1001202,42374,0.0029059506,1260,weekday,c
44617,480244,13,4,8.003753,960,weekday,c
44618,480277,1001262,1001211,1.2590966,675,weekday,c
44619,480303,46751,1001204,0.32662615,825,weekday,c
44620,480310,8,3,0.0026669365,60,weekday,c
44621,480313,1001266,1001208,0.6988956,510,weekday,c
44622,480347,6,1001239,0.005423291,90,weekday,c
44623,480365,1001266,1,45.956367,585,weekday,c
44624,480374,1001212,2,0.23569614,45,weekday,c
44625,480391,6,1001202,8.23422,1080,weekday,c
44626,480398,1001212,2,33.881966,1155,weekday,c
44627,480414,1001239,15,1.3023878,1170,weekday,c
44628,480419,1001216,2,1.0445353,540,weekday,c
44629,480421,1001243,1,9.614184,570,weekday,c
44630,480427,1001207,1001216,0.078876644,1290,weekday,c
44631,480430,12,5,0.007736897,495,weekday,c
44632,480448,13,42374,0.32234985,495,weekday,c
44633,480465,1001203,1001205,0.0059031853,90,weekday,c
44634,480525,15,1001207,3.17924,1065,weekday,c
44635,480544,1001241,16,9.620984,1155,weekday,c
44636,480555,8,13,0.26500377,675,weekday,c
44637,480563,8,4,0.055883978,330,weekday,c
44638,480582,1001211,10061628,0.019815663,960,weekday,c
44639,480585,60232,1001241,0.20910048,765,weekday,c
44640,480599,1001253,1001267,0.004579297,1350,weekday,c
44641,480610,1001266,3,10.687216,555,weekday,c
44642,480640,1001256,60292,0.50745344,1095,weekday,c
44643,480645,1001206,1001213,0.18826391,615,weekday,c
44644,480653,16,1001207,1.2506053,1245,weekday,c
44645,480679,1001205,1001208,0.0020993708,1425,weekday,c
44646,480680,1001218,1001214,0.18597841,1035,weekday,c
44647,480694,2,1001214,0.47257772,900,weekday,c
44648,480713,1001202,60232,0.19561855,510,weekday,c
44649,480731,60232,3,0.027864346,30,weekday,c
44650,480734,14,1001205,2.8147993,435,weekday,c
44651,480741,4,1001216,0.99034727,300,weekday,c
44652,480766,1001261,1001255,0.0028318895,135,weekday,c
44653,480767,1001241,1001202,1.1132855,435,weekday,c
44654,480814,7,1001208,0.69142944,225,weekday,c
44655,480824,3,6,1.7105339,1005,weekday,c
44656,480844,1001266,1001241,0.009520101,30,weekday,c
44657,480857,11,1001204,2.2344136,195,weekday,c
44658,480887,2,1001211,0.5467992,1365,weekday,c
44659,480908,1001242,1001207,0.00014591886,90,weekday,c
44660,480924,1001261,12,0.2323546,315,weekday,c
44661,480925,1001256,1001214,0.14832124,840,weekday,c
44662,480931,1001214,1001262,0.07670409,870,weekday,c
44663,480936,1001205,1001211,0.7442362,795,weekday,c
44664,480947,1001266,1001204,4.8810287,480,weekday,c
44665,480950,1001261,1001205,0.07665533,1215,weekday,c
44666,480951,12,1001253,3.391698,765,weekday,c
44667,480993,1001214,1001211,0.35812008,1065,weekday,c
44668,480994,60292,13,4.3032894,255,weekday,c
44669,481010,1001239,1001203,0.0044935704,1005,weekday,c
44670,481030,1001253,1001207,0.103418455,960,weekday,c
44671,481033,1001241,6,9.56431,375,weekday,c
44672,481048,3,1001211,0.96261805,120,weekday,c
44673,481056,1001262,1001261,0.105295,915,weekday,c
44674,481064,6,1001217,1.5326107,165,weekday,c
44675,481066,1001208,1001204,0.9373428,1020,weekday,c
44676,481084,1001202,42374,0.013165641,735,weekday,c
44677,481097,1001217,60232,1.9864146,1260,weekday,c
44678,481103,1001241,6,0.39473698,1425,weekday,c
44679,481111,1001214,1001254,0.0064085717,150,weekday,c
44680,481129,1001207,1001202,0.0944581,915,weekday,c
44681,481155,1001206,1001217,2.486753,1110,weekday,c
44682,481168,1001243,1001217,1.015486,870,weekday,c
44683,481172,15,1001244,0.44681218,915,weekday,c
44684,481177,1001212,1001208,0.16242842,1080,weekday,c
44685,481189,1001241,1001261,0.01470911,1365,weekday,c
44686,481190,4,1001203,13.069251,870,weekday,c
44687,481199,1001253,1001255,0.35985288,1080,weekday,c
44688,481216,1001211,5,0.042138457,1185,weekday,c
44689,481223,1001206,12,0.26089394,990,weekday,c
44690,481226,1001255,13,1.947942,390,weekday,c
44691,481233,12,1001256,1.7748594,1185,weekday,c
44692,481235,3,15,383.2441,525,weekday,c
44693,481242,1001208,1001244,0.0026257287,420,weekday,c
44694,481250,1001243,1001204,0.16485396,1245,weekday,c
44695,481259,1001261,1001203,0.29033384,1110,weekday,c
44696,481267,1001261,1001243,0.1589386,900,weekday,c
44697,481273,60292,2,0.0115382625,75,weekday,c
44698,481317,1001243,46751,1.0585792,780,weekday,c
44699,481324,6,60292,0.7872042,165,weekday,c
44700,481325,1001244,5,1.9035069,675,weekday,c
44701,481339,1001213,1001241,0.08939261,1140,weekday,c
44702,481379,3,8,0.081668146,315,weekday,c
44703,481380,8,16,1.9001913,480,weekday,c
44704,481391,10,42374,0.031702217,915,weekday,c
44705,481398,1001213,1,3.1042852,390,weekday,c
44706,481404,6,60292,0.22742473,60,weekday,c
44707,481405,1001239,1001242,0.0016327295,1230,weekday,c
44708,481412,1001217,1001216,0.08406664,105,weekday,c
44709,481437,1001218,60292,0.39931336,765,weekday,c
44710,481444,1001207,1001213,0.000625872,105,weekday,c
44711,481457,1001213,1001267,0.03148097,795,weekday,c
44712,481466,3,1001208,6.334698,480,weekday,c
44713,481471,11,1001266,8.604843,510,weekday,c
44714,481487,1001262,10061628,0.12364579,1200,weekday,c
44715,481492,1001243,1001261,0.072394356,1170,weekday,c
44716,481500,1,1001256,0.6489619,120,weekday,c
44717,481502,1001202,5,0.0061880997,855,weekday,c
44718,481515,15,1001256,6.1998763,1200,weekday,c
44719,481523,46751,1001261,0.5760606,1080,weekday,c
44720,481545,60292,5,0.0048912875,555,weekday,c
44721,481551,1001207,3,0.02342217,1410,weekday,c
44722,481610,1001216,1001214,0.86625475,1020,weekday,c
44723,481617,1001262,1001239,0.001668133,1260,weekday,c
44724,481621,1001243,5,0.37101468,960,weekday,c
44725,481626,1001262,2,0.0073213773,0,weekday,c
44726,481632,1001244,12,0.08453704,930,weekday,c
44727,481648,1001206,10,0.0036152794,120,weekday,c
44728,481662,1001243,1,2.315569,1275,weekday,c
44729,481665,1001255,12,0.09670207,1290,weekday,c
44730,481679,1001239,1001241,0.0013101705,1050,weekday,c
44731,481685,1001211,12,6.3280425,600,weekday,c
44732,481691,1001242,6,0.0013387445,30,weekday,c
44733,481693,1001203,1001239,0.00010301435,90,weekday,c
44734,481702,1001240,8,1.1531463e-05,1395,weekday,c
44735,481720,1,1001243,11.708743,1080,weekday,c
44736,481722,2,1001217,0.36902276,210,weekday,c
44737,481740,3,1001206,7.6612782,945,weekday,c
44738,481746,11,1001214,0.025608467,315,weekday,c
44739,481776,6,1,68.131996,1080,weekday,c
44740,481789,12,6,2.7255316,1305,weekday,c
44741,481809,1001206,1001214,0.6188398,1140,weekday,c
44742,481849,1001267,1001207,0.0023122374,495,weekday,c
44743,481852,1001218,8,0.8192994,600,weekday,c
44744,481855,1001267,15,3.2585132,825,weekday,c
44745,481856,1001243,1001202,0.5553809,645,weekday,c
44746,481868,1001253,1001216,1.8748959,735,weekday,c
44747,481905,1001217,1001208,1.0002509,480,weekday,c
44748,481918,10,1001208,0.1631887,630,weekday,c
44749,481922,46751,1001211,6.543348,975,weekday,c
44750,481931,1001207,60292,0.024364423,1050,weekday,c
44751,481939,1001202,1001206,0.113663495,1275,weekday,c
44752,481947,1001242,10061628,0.009108811,1335,weekday,c
44753,481960,1001243,60292,0.001982301,30,weekday,c
44754,481969,1001239,1001243,0.018270079,900,weekday,c
44755,481980,1001261,2,0.40887526,1290,weekday,c
44756,481984,1001266,42374,0.006023557,255,weekday,c
44757,482004,1001202,1001211,1.5339543,855,weekday,c
44758,482031,1001211,60232,0.2567015,105,weekday,c
44759,482076,1001261,1,5.996247,375,weekday,c
44760,482077,1001213,1001207,0.04596835,870,weekday,c
44761,482082,1001216,4,5.1717267,735,weekday,c
44762,482090,46751,60232,0.18084913,840,weekday,c
44763,482116,1001206,16,35.769997,810,weekday,c
44764,482123,1001254,1001240,0.011150838,1065,weekday,c
44765,482132,1001241,1001262,0.14052175,1215,weekday,c
44766,482135,2,6,6.5183353,1005,weekday,c
44767,482138,1001256,46751,1.9055363,345,weekday,c
44768,482157,1001241,10061628,0.47147927,1245,weekday,c
44769,482165,1001242,1001240,0.000838022,1170,weekday,c
44770,482167,1001266,1001261,0.018235289,165,weekday,c
44771,482175,1001202,3,79.781204,1050,weekday,c
44772,482178,3,10,52.66649,990,weekday,c
44773,482180,42374,1001255,0.053718466,1155,weekday,c
44774,482212,1001207,12,0.118024014,450,weekday,c
44775,482229,60232,10,0.008192043,570,weekday,c
44776,482251,3,1001203,47.87739,885,weekday,c
44777,482254,15,1001212,32.14539,975,weekday,c
44778,482277,1001261,16,8.688231,885,weekday,c
44779,482278,1001203,1001217,0.31055272,255,weekday,c
44780,482280,14,1,0.031382035,855,weekday,c
44781,482288,15,1001206,13.603215,1110,weekday,c
44782,482289,13,1001262,2.240475,1110,weekday,c
44783,482295,1001202,1001253,2.4890838,780,weekday,c
44784,482300,60292,1001253,0.0946667,270,weekday,c
44785,482320,1001267,1001262,0.08954671,1020,weekday,c
44786,482325,13,1001207,1.2143677,420,weekday,c
44787,482327,1001255,1001266,0.12100814,1230,weekday,c
44788,482337,1001202,1001267,0.030102326,420,weekday,c
44789,482349,13,1001208,1.3936297,675,weekday,c
44790,482356,11,1001266,4.503004,690,weekday,c
44791,482359,1001216,1001243,0.41483432,1170,weekday,c
44792,482360,46751,1001207,0.029797094,255,weekday,c
44793,482393,16,1001239,1.6863537,900,weekday,c
44794,482396,1001239,10061628,0.00013791554,105,weekday,c
44795,482397,1001253,1001254,0.0322289,165,weekday,c
44796,482400,1001244,1001207,0.0010973009,1140,weekday,c
44797,482408,1001266,16,44.63591,660,weekday,c
44798,482429,1,1001208,2.883209,675,weekday,c
44799,482438,1001255,1001242,0.0013788596,165,weekday,c
44800,482440,1001211,1001253,0.49793103,390,weekday,c
44801,482455,1001254,1001244,0.01768025,645,weekday,c
44802,482491,60232,12,0.0009977025,210,weekday,c
44803,482492,1001218,1001213,0.15127707,345,weekday,c
44804,482494,1001262,1001254,0.007356306,135,weekday,c
44805,482510,1001218,60292,0.5227747,450,weekday,c
44806,482512,1001267,1001255,0.085430704,825,weekday,c
44807,482517,1001202,15,49.177044,540,weekday,c
44808,482522,14,46751,1.4071523,525,weekday,c
44809,482523,3,1001202,20.900507,1020,weekday,c
44810,482535,1001213,1001203,0.66155267,795,weekday,c
44811,482545,1001254,1001255,0.45923054,840,weekday,c
44812,482552,1001208,1,0.01391018,0,weekday,c
44813,482560,1001254,1001204,0.08348863,180,weekday,c
44814,482588,1001213,1001202,0.53616047,675,weekday,c
44815,482589,1001212,1001240,0.0017814918,1365,weekday,c
44816,482595,14,1001239,0.35886842,1065,weekday,c
44817,482607,6,1001212,1.9733661,855,weekday,c
44818,482616,1001261,1001218,0.016581139,240,weekday,c
44819,482620,42374,1001211,0.0029538996,1320,weekday,c
44820,482621,1001213,60232,0.3884556,465,weekday,c
44821,482676,1001253,10,1.515178,405,weekday,c
44822,482687,3,1001267,4.920052,585,weekday,c
44823,482697,1001253,1001240,0.0010634714,165,weekday,c
44824,482698,1001217,1001262,1.9002899,1110,weekday,c
44825,482706,1001266,6,7.679178,510,weekday,c
44826,482726,7,1001213,0.9710694,1305,weekday,c
44827,482729,1001216,1001266,0.3032231,1365,weekday,c
44828,482730,1001216,1001211,5.358249,1005,weekday,c
44829,482736,42374,1001243,0.013159954,615,weekday,c
44830,482749,42374,1001204,0.0018005001,1395,weekday,c
44831,482772,1001242,1001266,0.34469527,540,weekday,c
44832,482782,1001253,6,3.4231286,1200,weekday,c
44833,482811,46751,1001267,7.373078,930,weekday,c
44834,482812,1001243,1001218,0.0024751176,75,weekday,c
44835,482832,12,1001204,12.19629,795,weekday,c
44836,482836,46751,1001202,0.022413837,0,weekday,c
44837,482837,1001267,1001240,6.250896e-07,30,weekday,c
44838,482840,60232,12,0.002593499,270,weekday,c
44839,482842,1001241,1001242,0.006703736,1335,weekday,c
44840,482845,1001211,1001208,0.08258921,945,weekday,c
44841,482860,10,1001253,1.6492505,720,weekday,c
44842,482877,60232,1001216,10.280793,1095,weekday,c
44843,482882,1001203,1001216,0.12169154,105,weekday,c
44844,482902,1001203,1001261,0.7337977,720,weekday,c
44845,482907,1001243,5,0.0066034473,75,weekday,c
44846,482913,1001208,60292,0.101761736,420,weekday,c
