time,mode,id,flow_in,flow_out,max_q,mov_vehs,que_vehs,speed,density,tt,q_length,t,geometry
2025-09-23 07:00:00,all,58169,0.0,0.0,0.0,0.0,0.0,39.1,0.0,0.13319387,,420.0,"MULTILINESTRING ((12.447613 41.812625, 12.446759 41.812175))"
2025-09-23 07:00:00,all,59147,228.0,228.0,0.0,1.6428572,0.0,49.3514,5.0151787,0.39825863,,420.0,"MULTILINESTRING ((12.449939 41.80427, 12.45122 41.804993, 12.45174 41.805364, 12.45209 41.805589, 12.452398 41.805753, 12.452712 41.805903, 12.452914 41.805983, 12.453075 41.80604))"
2025-09-23 07:00:00,all,59230,84.0,84.0,0.0,1.4166666,0.0,42.729965,8.603378,0.23121572,,420.0,"MULTILINESTRING ((12.450179 41.808642, 12.451123 41.808848, 12.451824 41.809017, 12.452012 41.809036, 12.452084 41.809035))"
2025-09-23 07:00:00,all,59542,0.0,0.0,0.0,0.0,0.0,52.3,0.0,0.4709679,,420.0,"MULTILINESTRING ((12.450446 41.801233, 12.450701 41.801082, 12.45116 41.800858, 12.451388 41.800671, 12.451612 41.800464, 12.451844 41.800268, 12.452095 41.800016, 12.452282 41.799799, 12.452471 41.799603, 12.452659 41.799379, 12.452805 41.799154, 12.452902 41.798937, 12.453002 41.79864, 12.453082 41.798247))"
2025-09-23 07:00:00,all,59543,240.0,240.0,0.0,0.0,0.0,105.0,0.0,0.096061714,,420.0,"MULTILINESTRING ((12.450446 41.801233, 12.452431 41.800942))"
2025-09-23 07:00:00,all,59566,1476.0,1452.0,6.0,3.8809524,0.61904764,27.327824,16.83368,0.25722137,,420.0,"MULTILINESTRING ((12.450695 41.805991, 12.45174 41.806699))"
2025-09-23 07:00:00,all,59624,192.0,192.0,0.0,2.1818182,0.0,47.908016,9.488724,0.14398718,,420.0,"MULTILINESTRING ((12.450854 41.818537, 12.452001 41.819116))"
2025-09-23 07:00:00,all,59717,0.0,0.0,0.0,0.0,0.0,45.7,0.0,0.15470284,,420.0,"MULTILINESTRING ((12.451119 41.824385, 12.452168 41.823671))"
2025-09-23 07:00:00,all,59780,108.0,108.0,0.0,0.0,0.0,50.9,0.0,0.078080155,,420.0,"MULTILINESTRING ((12.451266 41.822819, 12.451828 41.823242))"
2025-09-23 07:00:00,all,62803,756.0,696.0,0.0,3.8333333,0.0,53.17981,9.071218,0.23838858,,420.0,"MULTILINESTRING ((12.458839 41.810919, 12.458872 41.811037, 12.459081 41.811455, 12.459474 41.812066, 12.459821 41.81267))"
2025-09-23 07:00:00,all,62835,1188.0,1116.0,5.0,9.578947,0.31578946,43.892056,14.812798,0.44325882,,420.0,"MULTILINESTRING ((12.459236 41.811026, 12.459276 41.811045, 12.459438 41.811118, 12.459564 41.811199, 12.459676 41.811302, 12.459792 41.811436, 12.459862 41.811562, 12.459923 41.811699, 12.459973 41.811875, 12.460017 41.812043, 12.460052 41.812226, 12.460101 41.812573, 12.460121 41.812643, 12.460161 41.81279, 12.460227 41.812966, 12.460352 41.813201, 12.460623 41.813661))"
2025-09-23 07:00:00,all,63819,132.0,108.0,0.0,1.7241379,0.0,46.238716,4.400343,0.50842977,,420.0,"MULTILINESTRING ((12.461543 41.814203, 12.461832 41.814268, 12.462199 41.814225, 12.465348 41.812329))"
2025-09-23 07:00:00,all,63858,312.0,312.0,0.0,0.5,0.0,57.761078,3.0573936,0.08493851,,420.0,"MULTILINESTRING ((12.461624 41.816184, 12.461606 41.816166, 12.461224 41.815512))"
2025-09-23 07:00:00,all,66063,0.0,0.0,0.0,0.0,0.0,47.3,0.0,0.14298648,,420.0,"MULTILINESTRING ((12.466321 41.812597, 12.467229 41.813351))"
2025-09-23 07:00:00,all,67983,0.0,0.0,0.0,0.0,0.0,43.1,0.0,0.18036194,,420.0,"MULTILINESTRING ((12.469516 41.812294, 12.469486 41.812468, 12.469486 41.812609, 12.469602 41.812861, 12.469659 41.813014, 12.469683 41.813191, 12.469627 41.813276, 12.469584 41.813322, 12.469483 41.813381))"
2025-09-23 07:00:00,all,70488,0.0,0.0,0.0,0.0,0.0,51.5,0.0,0.037544854,,420.0,"MULTILINESTRING ((12.473536 41.812762, 12.473603 41.812725, 12.473785 41.812624, 12.473855 41.812597))"
2025-09-23 07:00:00,all,70489,72.0,72.0,0.0,0.0,0.0,43.1,0.0,0.07989745,,420.0,"MULTILINESTRING ((12.473536 41.812762, 12.473693 41.812626, 12.473746 41.812542, 12.473899 41.812326))"
2025-09-23 07:00:00,all,70699,96.0,96.0,0.0,0.0,0.0,51.5,0.0,0.06354175,,420.0,"MULTILINESTRING ((12.474168 41.812554, 12.474776 41.812739))"
2025-09-23 07:00:00,all,71299,0.0,0.0,0.0,0.0,0.0,43.1,0.0,0.20601161,,420.0,"MULTILINESTRING ((12.474892 41.812782, 12.475037 41.812494, 12.475917 41.812837, 12.47578 41.8131))"
2025-09-23 07:00:00,all,77359,108.0,108.0,0.0,0.0,0.0,50.268,0.0,0.08135593,,420.0,"MULTILINESTRING ((12.48521 41.812038, 12.485253 41.812187, 12.48526 41.812272, 12.48525 41.812648))"
2025-09-23 07:00:00,all,78565,0.0,0.0,0.0,0.0,0.0,43.1,0.0,0.039900698,,420.0,"MULTILINESTRING ((12.487591 41.812646, 12.487842 41.812469))"
2025-09-23 07:00:00,all,48100,228.0,216.0,0.0,1.48,0.0,46.892105,9.426512,0.20089181,,420.0,"MULTILINESTRING ((12.418193 41.80399, 12.418261 41.80379, 12.418361 41.803721, 12.418419 41.803693, 12.418498 41.803664, 12.418557 41.803644, 12.418672 41.80363, 12.418789 41.803636, 12.418865 41.803642, 12.418987 41.803655, 12.419107 41.80371, 12.419214 41.803828, 12.419406 41.804166))"
2025-09-23 07:00:00,all,48184,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.028065713,,420.0,"MULTILINESTRING ((12.418007 41.807693, 12.418213 41.807657, 12.418448 41.80762, 12.418586 41.807601))"
2025-09-23 07:00:00,all,48312,228.0,228.0,0.0,1.1818181,0.0,59.588417,3.8868184,0.15307908,,420.0,"MULTILINESTRING ((12.418982 41.805503, 12.418816 41.805171, 12.418231 41.804256))"
2025-09-23 07:00:00,all,48172,228.0,228.0,0.0,0.0,0.0,50.9,0.0,0.035026323,,420.0,"MULTILINESTRING ((12.418231 41.804256, 12.418208 41.804083, 12.418193 41.80399))"
2025-09-23 07:00:00,all,47418,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.086060576,,420.0,"MULTILINESTRING ((12.415582 41.808035, 12.417365 41.807792))"
2025-09-23 07:00:00,all,47945,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.031134857,,420.0,"MULTILINESTRING ((12.417365 41.807792, 12.417757 41.807726, 12.418007 41.807693))"
2025-09-23 07:00:00,all,49685,3432.0,2832.0,3.0,46.916668,0.104166664,93.59991,11.17547,0.897156,,420.0,"MULTILINESTRING ((12.42359 41.806602, 12.431772 41.803865, 12.432411 41.803663, 12.433593 41.803348, 12.43414 41.803222, 12.434769 41.80312, 12.435416 41.803026, 12.439419 41.802542))"
2025-09-23 07:00:00,all,52720,12.0,0.0,0.0,0.85714287,0.0,40.39883,1.9210869,0.6626568,,420.0,"MULTILINESTRING ((12.434739 41.806924, 12.434934 41.806769, 12.435134 41.806598, 12.435413 41.806398, 12.435719 41.806168, 12.435904 41.806008, 12.436413 41.805552, 12.436615 41.805335, 12.436702 41.805191, 12.436768 41.805038, 12.436845 41.804766, 12.436897 41.804477, 12.436912 41.804252, 12.436903 41.80409, 12.436862 41.803893, 12.43685 41.803839, 12.43673 41.803487))"
2025-09-23 07:00:00,all,53409,816.0,252.0,15.0,50.117645,0.88235295,6.532563,115.95482,4.0156302,,420.0,"MULTILINESTRING ((12.436779 41.803471, 12.436905 41.803892, 12.436937 41.804002, 12.436959 41.804187, 12.436935 41.804503, 12.436876 41.804805, 12.43681 41.80505, 12.436743 41.805203, 12.436624 41.805385, 12.436449 41.805579, 12.436188 41.805837, 12.435869 41.806115, 12.435408 41.806461, 12.435341 41.80653, 12.435306 41.806609, 12.435285 41.806733, 12.435266 41.806863, 12.435251 41.806997))"
2025-09-23 07:00:00,all,48366,216.0,216.0,0.0,1.3888888,0.0,69.6546,2.7784724,0.14352964,,420.0,"MULTILINESTRING ((12.419406 41.804166, 12.41949 41.80444, 12.419518 41.804531, 12.419615 41.804864, 12.419673 41.805024, 12.41973 41.805221, 12.419791 41.805382, 12.419831 41.805502, 12.419857 41.805627))"
2025-09-23 07:00:00,all,48384,1356.0,1356.0,0.0,0.0,0.0,105.0,0.0,0.009149143,,420.0,"MULTILINESTRING ((12.419146 41.807777, 12.418957 41.807805))"
2025-09-23 07:00:00,all,48714,288.0,288.0,0.0,1.3793104,0.0,56.76276,3.7924607,0.19222005,,420.0,"MULTILINESTRING ((12.420385 41.807546, 12.42043 41.807619, 12.420483 41.807725, 12.420519 41.807787, 12.420573 41.807879, 12.42067 41.808032, 12.420802 41.80825, 12.420986 41.808513, 12.421395 41.808994))"
2025-09-23 07:00:00,all,48731,0.0,0.0,0.0,0.0,0.0,50.9,0.0,0.4714279,,420.0,"MULTILINESTRING ((12.420443 41.80848, 12.420349 41.80849, 12.420283 41.808501, 12.42024 41.808517, 12.420207 41.808539, 12.420169 41.808577, 12.420142 41.808621, 12.420125 41.808681, 12.420114 41.80873, 12.420131 41.808784, 12.420174 41.808852, 12.42025 41.808897, 12.420594 41.80914, 12.420918 41.809424, 12.421849 41.810334, 12.422272 41.810771, 12.422724 41.811221, 12.422744 41.81124))"
2025-09-23 07:00:00,all,52491,0.0,0.0,0.0,0.0,0.0,43.1,0.0,0.10179118,,420.0,"MULTILINESTRING ((12.434 41.807096, 12.434136 41.807172, 12.434196 41.80722, 12.434232 41.807254, 12.434276 41.807325, 12.434295 41.80739, 12.434298 41.807467, 12.434287 41.80753, 12.434263 41.807582, 12.434211 41.807654))"
2025-09-23 07:00:00,all,48754,540.0,504.0,1.0,3.5833333,0.020833334,44.29754,11.744094,0.41335526,,420.0,"MULTILINESTRING ((12.420521 41.807517, 12.420562 41.807602, 12.4206 41.807675, 12.420644 41.807757, 12.420676 41.807819, 12.420797 41.80802, 12.420921 41.808177, 12.421043 41.808303, 12.421167 41.808408, 12.421302 41.808511, 12.421583 41.808697, 12.421927 41.808908, 12.422061 41.809002, 12.422358 41.80923, 12.422649 41.80946, 12.422831 41.8096))"
2025-09-23 07:00:00,all,48929,3432.0,3432.0,0.0,0.5,0.0,104.94088,1.2226225,0.07794046,,420.0,"MULTILINESTRING ((12.42205 41.807024, 12.422292 41.806955, 12.422486 41.80691, 12.42271 41.806851, 12.42359 41.806602))"
