id,cycle,phases
11,130,"[{""from_link"": 77795, ""to_link"": 77924, ""t_start"": 0, ""t_end"": 100, ""type"": ""straight""}, {""from_link"": 77871, ""to_link"": 77742, ""t_start"": 0, ""t_end"": 100, ""type"": ""straight""}, {""from_link"": 77795, ""to_link"": 77924, ""t_start"": 12, ""t_end"": 0, ""type"": ""straight""}]"
12,130,"[{""from_link"": 77091, ""to_link"": 77014, ""t_start"": 12, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 77091, ""to_link"": 77014, ""t_start"": 0, ""t_end"": 96, ""type"": ""straight""}, {""from_link"": 76829, ""to_link"": 76955, ""t_start"": 0, ""t_end"": 96, ""type"": ""straight""}]"
13,130,"[{""from_link"": 76562, ""to_link"": 76672, ""t_start"": 0, ""t_end"": 86, ""type"": ""straight""}]"
14,110,"[{""from_link"": 76228, ""to_link"": 76404, ""t_start"": 0, ""t_end"": 74, ""type"": ""straight""}, {""from_link"": 76323, ""to_link"": 76223, ""via_link"": 76400, ""t_start"": 0, ""t_end"": 74, ""type"": ""straight""}, {""from_link"": -76399, ""to_link"": 76223, ""via_link"": 76269, ""t_start"": 36, ""t_end"": 0, ""type"": ""straight""}]"
15,130,"[{""from_link"": 75575, ""to_link"": 75425, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}, {""from_link"": 75245, ""to_link"": 75418, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}]"
16,130,"[{""from_link"": 75114, ""to_link"": 75115, ""t_start"": 0, ""t_end"": 72, ""type"": ""straight""}, {""from_link"": 75114, ""to_link"": 74915, ""t_start"": 0, ""t_end"": 72, ""type"": ""straight""}, {""from_link"": 74769, ""to_link"": 75022, ""via_link"": 74978, ""t_start"": 0, ""t_end"": 62, ""type"": ""straight""}, {""from_link"": 75114, ""to_link"": 74787, ""via_link"": 74979, ""t_start"": 64, ""t_end"": 100, ""type"": ""straight""}, {""from_link"": -75115, ""to_link"": 74915, ""t_start"": 68, ""t_end"": 94, ""type"": ""straight""}, {""from_link"": 75316, ""to_link"": 75144, ""t_start"": 0, ""t_end"": 116, ""type"": ""straight""}, {""from_link"": 75022, ""to_link"": 75158, ""t_start"": 0, ""t_end"": 100, ""type"": ""straight""}]"
17,100,"[{""from_link"": 75456, ""to_link"": 75534, ""t_start"": 0, ""t_end"": 100, ""type"": ""straight""}]"
18,130,"[{""from_link"": 76091, ""to_link"": 76779, ""via_link"": 76736, ""t_start"": 0, ""t_end"": 68, ""type"": ""straight""}, {""from_link"": 76783, ""to_link"": 76598, ""via_link"": 76627, ""t_start"": 28, ""t_end"": 0, ""type"": ""straight""}]"
19,130,"[{""from_link"": 77240, ""to_link"": 77327, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}, {""from_link"": 77437, ""to_link"": 77340, ""via_link"": 214298, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}]"
20,130,"[{""from_link"": 214303, ""to_link"": 77641, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}, {""from_link"": 77549, ""to_link"": 77641, ""via_link"": 77598, ""t_start"": 90, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 77549, ""to_link"": 77696, ""via_link"": 77597, ""t_start"": 90, ""t_end"": 0, ""type"": ""straight""}]"
