id,cycle,offset,phases,id_link,geometry
11,130,0,"[{""from_link"": 77795, ""to_link"": 77924, ""t_start"": 0, ""t_end"": 100, ""type"": ""straight""}, {""from_link"": 77871, ""to_link"": 77742, ""t_start"": 0, ""t_end"": 100, ""type"": ""straight""}, {""from_link"": 77795, ""to_link"": 77924, ""t_start"": 12, ""t_end"": 0, ""type"": ""straight""}]",77795,POINT (12.48636 41.811493)
12,130,0,"[{""from_link"": 77091, ""to_link"": 77014, ""t_start"": 12, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 77091, ""to_link"": 77014, ""t_start"": 0, ""t_end"": 96, ""type"": ""straight""}, {""from_link"": 76829, ""to_link"": 76955, ""t_start"": 0, ""t_end"": 96, ""type"": ""straight""}]",77091,POINT (12.484717 41.815203)
13,130,0,"[{""from_link"": 76562, ""to_link"": 76672, ""t_start"": 0, ""t_end"": 86, ""type"": ""straight""}]",76562,POINT (12.484108 41.816103)
14,110,0,"[{""from_link"": 76228, ""to_link"": 76404, ""t_start"": 0, ""t_end"": 74, ""type"": ""straight""}, {""from_link"": 76323, ""to_link"": 76223, ""via_link"": 76400, ""t_start"": 0, ""t_end"": 74, ""type"": ""straight""}, {""from_link"": -76399, ""to_link"": 76223, ""via_link"": 76269, ""t_start"": 36, ""t_end"": 0, ""type"": ""straight""}]",76228,POINT (12.483567 41.817024)
15,130,0,"[{""from_link"": 75575, ""to_link"": 75425, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}, {""from_link"": 75245, ""to_link"": 75418, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}]",75575,POINT (12.482093 41.818975)
16,130,0,"[{""from_link"": 75114, ""to_link"": 75115, ""t_start"": 0, ""t_end"": 72, ""type"": ""straight""}, {""from_link"": 75114, ""to_link"": 74915, ""t_start"": 0, ""t_end"": 72, ""type"": ""straight""}, {""from_link"": 74769, ""to_link"": 75022, ""via_link"": 74978, ""t_start"": 0, ""t_end"": 62, ""type"": ""straight""}, {""from_link"": 75114, ""to_link"": 74787, ""via_link"": 74979, ""t_start"": 64, ""t_end"": 100, ""type"": ""straight""}, {""from_link"": -75115, ""to_link"": 74915, ""t_start"": 68, ""t_end"": 94, ""type"": ""straight""}, {""from_link"": 75316, ""to_link"": 75144, ""t_start"": 0, ""t_end"": 116, ""type"": ""straight""}, {""from_link"": 75022, ""to_link"": 75158, ""t_start"": 0, ""t_end"": 100, ""type"": ""straight""}]",75114,POINT (12.481336 41.820232)
17,100,0,"[{""from_link"": 75456, ""to_link"": 75534, ""t_start"": 0, ""t_end"": 100, ""type"": ""straight""}]",75456,POINT (12.482055 41.803254)
18,130,0,"[{""from_link"": 76091, ""to_link"": 76779, ""via_link"": 76736, ""t_start"": 0, ""t_end"": 68, ""type"": ""straight""}, {""from_link"": 76783, ""to_link"": 76598, ""via_link"": 76627, ""t_start"": 28, ""t_end"": 0, ""type"": ""straight""}]",76091,POINT (12.484254 41.806159)
19,130,0,"[{""from_link"": 77240, ""to_link"": 77327, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}, {""from_link"": 77437, ""to_link"": 77340, ""via_link"": 214298, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}]",77240,POINT (12.484902 41.814155)
20,130,0,"[{""from_link"": 214303, ""to_link"": 77641, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}, {""from_link"": 77549, ""to_link"": 77641, ""via_link"": 77598, ""t_start"": 90, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 77549, ""to_link"": 77696, ""via_link"": 77597, ""t_start"": 90, ""t_end"": 0, ""type"": ""straight""}]",214303,POINT (12.485852 41.813276)
21,130,0,"[{""from_link"": 214303, ""to_link"": 77641, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}, {""from_link"": 77549, ""to_link"": 77641, ""via_link"": 77598, ""t_start"": 90, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 77549, ""to_link"": 77696, ""via_link"": 77597, ""t_start"": 90, ""t_end"": 0, ""type"": ""straight""}]",214303,POINT (12.485852 41.813276)
22,130,0,"[{""from_link"": 74013, ""to_link"": 73932, ""t_start"": 0, ""t_end"": 68, ""type"": ""straight""}, {""from_link"": 74014, ""to_link"": 73932, ""t_start"": 0, ""t_end"": 94, ""type"": ""straight""}, {""from_link"": 74014, ""to_link"": 73953, ""via_link"": -73954, ""t_start"": 68, ""t_end"": 94, ""type"": ""straight""}]",74013,POINT (12.479868 41.822473)
23,130,0,"[{""from_link"": 214617, ""to_link"": 73414, ""via_link"": 73511, ""t_start"": 0, ""t_end"": 80, ""type"": ""straight""}, {""from_link"": 73414, ""to_link"": 73415, ""t_start"": 0, ""t_end"": 80, ""type"": ""straight""}, {""from_link"": 73286, ""to_link"": 73328, ""t_start"": 0, ""t_end"": 80, ""type"": ""straight""}, {""from_link"": 73360, ""to_link"": 73409, ""t_start"": 0, ""t_end"": 80, ""type"": ""straight""}, {""from_link"": 73345, ""to_link"": 73414, ""via_link"": 73408, ""t_start"": 80, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 73345, ""to_link"": 73542, ""via_link"": 73407, ""t_start"": 80, ""t_end"": 0, ""type"": ""straight""}]",214617,POINT (12.47914 41.825737)
24,130,0,"[{""from_link"": 73504, ""to_link"": 214336, ""t_start"": 0, ""t_end"": 82, ""type"": ""straight""}, {""from_link"": 73446, ""to_link"": 73285, ""t_start"": 0, ""t_end"": 82, ""type"": ""straight""}, {""from_link"": 214337, ""to_link"": 214336, ""t_start"": 82, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 214337, ""to_link"": 73285, ""via_link"": 214326, ""t_start"": 82, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 72854, ""to_link"": 73285, ""t_start"": 82, ""t_end"": 0, ""type"": ""straight""}]",73504,POINT (12.479044 41.827934)
25,130,0,"[{""from_link"": 74335, ""to_link"": 74304, ""t_start"": 0, ""t_end"": 96, ""type"": ""straight""}, {""from_link"": 74335, ""to_link"": 74374, ""via_link"": 72334, ""t_start"": 0, ""t_end"": 36, ""type"": ""straight""}, {""from_link"": 74340, ""to_link"": 74375, ""t_start"": 36, ""t_end"": 96, ""type"": ""straight""}, {""from_link"": -74374, ""to_link"": 74375, ""t_start"": 0, ""t_end"": 36, ""type"": ""straight""}, {""from_link"": -74374, ""to_link"": 74304, ""via_link"": -74334, ""t_start"": 96, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 74340, ""to_link"": 74374, ""t_start"": 0, ""t_end"": 36, ""type"": ""straight""}, {""from_link"": 74340, ""to_link"": 74374, ""t_start"": 96, ""t_end"": 0, ""type"": ""straight""}]",74335,POINT (12.480345 41.829876)
26,80,0,"[{""from_link"": -64620, ""to_link"": -64456, ""t_start"": 0, ""t_end"": 50, ""type"": ""straight""}, {""from_link"": -64621, ""to_link"": -64456, ""t_start"": 50, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 64456, ""to_link"": 64621, ""t_start"": 50, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 64456, ""to_link"": 64620, ""t_start"": 0, ""t_end"": 50, ""type"": ""straight""}]",-64620,POINT (12.463295 41.837308)
27,70,0,"[{""from_link"": 54610, ""to_link"": -54468, ""via_link"": 54599, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": 54468, ""to_link"": 54647, ""via_link"": 54600, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}]",54610,POINT (12.43954 41.817708)
28,70,0,"[{""from_link"": 55405, ""to_link"": 55613, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55405, ""to_link"": 55612, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55405, ""to_link"": -55387, ""via_link"": -55588, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55587, ""to_link"": -55387, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55587, ""to_link"": 55613, ""via_link"": 55588, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55587, ""to_link"": 55370, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55387, ""to_link"": 55613, ""via_link"": 55588, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 55387, ""to_link"": 55612, ""via_link"": 55588, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 55387, ""to_link"": 55370, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -55613, ""to_link"": 55612, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -55613, ""to_link"": -55588, ""via_link"": 55370, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -55613, ""to_link"": -55588, ""via_link"": -55387, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}]",55405,POINT (12.441841 41.819415)
29,87,0,"[{""from_link"": 56305, ""to_link"": 56478, ""via_link"": 56438, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": 56305, ""to_link"": 56439, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": 56305, ""to_link"": -56202, ""via_link"": -56405, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": -56478, ""to_link"": 56246, ""via_link"": 56406, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": -56478, ""to_link"": -56202, ""via_link"": 56406, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": -56439, ""to_link"": -56202, ""via_link"": -56405, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -56439, ""to_link"": 56246, ""via_link"": -56405, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -56439, ""to_link"": 56478, ""via_link"": 56438, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 56202, ""to_link"": 56246, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 56202, ""to_link"": -56439, ""via_link"": 56405, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}]",56305,POINT (12.443645 41.820924)
30,100,0,"[{""from_link"": -61696, ""to_link"": -60763, ""via_link"": 61575, ""t_start"": 61, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 60763, ""to_link"": -61277, ""via_link"": 61576, ""t_start"": 61, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -61696, ""to_link"": -61277, ""via_link"": -61655, ""t_start"": 41, ""t_end"": 61, ""type"": ""straight""}, {""from_link"": 61277, ""to_link"": -60763, ""via_link"": -61576, ""t_start"": 0, ""t_end"": 35, ""type"": ""straight""}, {""from_link"": 61277, ""to_link"": 61696, ""via_link"": 61655, ""t_start"": 0, ""t_end"": 35, ""type"": ""straight""}]",-61696,POINT (12.456426 41.83136)
