o,d,timestamp,value
1.0,3.0,0,0.04070456983900329
1.0,3.0,15,0.05001595828413762
1.0,3.0,30,0.061409861369106714
1.0,3.0,45,0.07546527122564647
1.0,3.0,60,0.09302593027440167
1.0,3.0,75,0.1153535619224019
1.0,3.0,90,0.1443559817614491
1.0,3.0,105,0.1829097622377316
1.0,3.0,120,0.23529022237627786
1.0,3.0,135,0.30770455919057466
1.0,3.0,150,0.4088938229901251
1.0,3.0,165,0.5507252486647128
1.0,3.0,180,0.7486416097284824
1.0,3.0,195,1.0217785051793222
1.0,3.0,210,1.3925206835009547
1.0,3.0,225,1.8852670300688794
1.0,3.0,240,2.524233686499378
1.0,3.0,255,3.330261434208288
1.0,3.0,270,4.316805279860241
1.0,3.0,285,5.485544257825574
1.0,3.0,300,6.822303615825014
1.0,3.0,315,8.294155552833193
1.0,3.0,330,9.848582029438004
1.0,3.0,345,11.415390134182116
1.0,3.0,360,12.911661072697596
1.0,3.0,375,14.249444945872193
1.0,3.0,390,15.345301676277497
1.0,3.0,405,16.13028522734965
1.0,3.0,420,16.55871852346793
1.0,3.0,435,16.614202552387017
1.0,3.0,450,16.311750506602007
1.0,3.0,465,15.695646144855411
1.0,3.0,480,14.833430219514568
1.0,3.0,495,13.807127293587568
1.0,3.0,510,12.703272936520722
1.0,3.0,525,11.603397749811563
1.0,3.0,540,10.57637535371179
1.0,3.0,555,9.673538581623097
1.0,3.0,570,8.92685639493634
1.0,3.0,585,8.34989471421758
1.0,3.0,600,7.940873750764356
1.0,3.0,615,7.686939088693329
1.0,3.0,630,7.568777410097583
1.0,3.0,645,7.5648764168652605
1.0,3.0,660,7.654975644493397
1.0,3.0,675,7.822506530073551
1.0,3.0,690,8.056022764597657
1.0,3.0,705,8.349749913893094
1.0,3.0,720,8.70343648874662
1.0,3.0,735,9.121684594716461
1.0,3.0,750,9.612902136215885
1.0,3.0,765,10.187974578123985
1.0,3.0,780,10.858720549332517
1.0,3.0,795,11.636181839020935
1.0,3.0,810,12.528806344078244
1.0,3.0,825,13.540607800432955
1.0,3.0,840,14.669420192497714
1.0,3.0,855,15.905397265115713
1.0,3.0,870,17.22992831018146
1.0,3.0,885,18.61514181247263
1.0,3.0,900,20.024143129600272
1.0,3.0,915,21.412079776970963
1.0,3.0,930,22.728051414776434
1.0,3.0,945,23.917789250607395
1.0,3.0,960,24.926933041076804
1.0,3.0,975,25.7046471607259
1.0,3.0,990,26.20725427281099
1.0,3.0,1005,26.40153751707414
1.0,3.0,1020,26.267376699839655
1.0,3.0,1035,25.799441409317215
1.0,3.0,1050,25.00775827116609
1.0,3.0,1065,23.91708872582897
1.0,3.0,1080,22.56518165279371
1.0,3.0,1095,21.000084321204703
1.0,3.0,1110,19.276789408716567
1.0,3.0,1125,17.453553208250447
1.0,3.0,1140,15.588234598819275
1.0,3.0,1155,13.734976527606612
1.0,3.0,1170,11.94148844302843
1.0,3.0,1185,10.247100760604072
1.0,3.0,1200,8.681664855116082
1.0,3.0,1215,7.265278035424319
1.0,3.0,1230,6.008734056743006
1.0,3.0,1245,4.9145438256340555
1.0,3.0,1260,3.9783415180875217
1.0,3.0,1275,3.1904875743934293
1.0,3.0,1290,2.5376977570591075
1.0,3.0,1305,2.0045603021092835
1.0,3.0,1320,1.574844015980622
1.0,3.0,1335,1.2325422662181398
1.0,3.0,1350,0.9626358156586203
1.0,3.0,1365,0.7515878034438437
1.0,3.0,1380,0.587605222120998
1.0,3.0,1395,0.46071297130340916
1.0,3.0,1410,0.3626901935530088
1.0,3.0,1425,0.286916033301324
1.0,5.0,0,0.18034163336493647
1.0,5.0,15,0.22267376376846593
1.0,5.0,30,0.2755682466409213
1.0,5.0,45,0.3428600193497898
1.0,5.0,60,0.4305769079924309
1.0,5.0,75,0.5482944600997925
1.0,5.0,90,0.7111592269661744
1.0,5.0,105,0.9427562193928015
1.0,5.0,120,1.2789348586552727
1.0,5.0,135,1.772556816297272
1.0,5.0,150,2.498861023988074
1.0,5.0,165,3.560747676323349
1.0,5.0,180,5.092794697416776
1.0,5.0,195,7.262323649309308
1.0,5.0,210,10.265477563473105
1.0,5.0,225,14.316259911131635
1.0,5.0,240,19.627016614593316
1.0,5.0,255,26.38005965849382
1.0,5.0,270,34.692016530763226
1.0,5.0,285,44.57480516709182
1.0,5.0,300,55.89939671919748
1.0,5.0,315,68.37007746111556
1.0,5.0,330,81.51707531580927
1.0,5.0,345,94.71369736818328
1.0,5.0,360,107.22047896722835
1.0,5.0,375,118.25377918381206
1.0,5.0,390,127.07080943222107
1.0,5.0,405,133.0586008471578
1.0,5.0,420,135.81219149697034
1.0,5.0,435,135.18816870690674
1.0,5.0,450,131.32368343758006
1.0,5.0,465,124.61735819127993
1.0,5.0,480,115.67567151290159
1.0,5.0,495,105.23470650401906
1.0,5.0,510,94.0711320951433
1.0,5.0,525,82.91713951292665
1.0,5.0,540,72.39183122903361
1.0,5.0,555,62.95707770778881
1.0,5.0,570,54.90040847201339
1.0,5.0,585,48.342437276141546
1.0,5.0,600,43.262674496799086
1.0,5.0,615,39.53585983203447
1.0,5.0,630,36.97110171227504
1.0,5.0,645,35.34765804247495
1.0,5.0,660,34.443454871745594
1.0,5.0,675,34.05475449390688
1.0,5.0,690,34.00726976942059
1.0,5.0,705,34.160237899058416
1.0,5.0,720,34.405499524180556
1.0,5.0,735,34.663615896908716
1.0,5.0,750,34.87870267091061
1.0,5.0,765,35.01316283290864
1.0,5.0,780,35.043013545067886
1.0,5.0,795,34.95410892860654
1.0,5.0,810,34.739293514011024
1.0,5.0,825,34.396371020619014
1.0,5.0,840,33.92671261767787
1.0,5.0,855,33.33432568342863
1.0,5.0,870,32.625230656419916
1.0,5.0,885,31.807030320585866
1.0,5.0,900,30.888591319246494
1.0,5.0,915,29.879786634667965
1.0,5.0,930,28.791268965755712
1.0,5.0,945,27.63425921807994
1.0,5.0,960,26.420343271238544
1.0,5.0,975,25.161275408423002
1.0,5.0,990,23.868789581600588
1.0,5.0,1005,22.55442097453709
1.0,5.0,1020,21.22934072789091
1.0,5.0,1035,19.904206585151588
1.0,5.0,1050,18.58903183099336
1.0,5.0,1065,17.29307435718026
1.0,5.0,1080,16.024747084809086
1.0,5.0,1095,14.791550345521356
1.0,5.0,1110,13.600026212478033
1.0,5.0,1125,12.455734199212802
