id,from_node,via_node,to_node,penalty
327,248681270,2312074608,297384976,9999999
328,8827032399,920272880,5336920282,9999999
329,262112504,262112573,262112318,9999999
330,1641271277,394739374,157436051,9999999
331,1641271277,1641271301,157436132,9999999
332,262112504,262112573,2094087535,9999999
333,391278626,253708639,252528544,9999999
334,356948345,356948357,305092065,9999999
335,2285110760,394741527,2285110764,9999999
336,305090117,303203448,1236041351,9999999
337,303202121,1339496325,1339496497,9999999
338,303203448,303203349,303203487,9999999
339,2371678192,262122806,2371678175,9999999
340,372717177,319981453,357694342,9999999
341,372779567,372782832,372779567,9999999
342,253282306,253282305,248837258,9999999
343,333709132,369685024,428171149,9999999
344,305100899,332450606,305100899,9999999
345,920281633,920272881,920281633,9999999
346,311075420,356949232,373112557,9999999
347,369687556,369687560,1389060301,9999999
348,305094077,356969064,356969100,9999999
349,3066771540,1803896277,3066771541,9999999
350,1679000303,306516057,306516056,9999999
351,248683379,2691984090,246667751,9999999
352,286718407,286718405,286718383,9999999
353,305100584,305100589,305100781,9999999
354,305090261,305090246,305085970,9999999
355,1340319145,1339496425,260980639,9999999
356,1200136724,286718211,1200136724,9999999
357,729633055,253282230,264251505,9999999
358,1701772340,324201386,356968117,9999999
359,920281560,1957360642,920281559,9999999
360,305091891,314418749,305091890,9999999
361,1200136743,1200136655,1200136228,9999999
362,428214533,9552006349,7962489435,9999999
363,248681270,2312074608,248678326,9999999
364,561206603,561206604,304463973,9999999
365,1812356436,1812356446,1812356436,9999999
366,638460005,1092776278,252528806,9999999
367,305092445,157454235,305092436,9999999
368,561206603,428171149,304463093,9999999
369,1340319145,1339496425,2316535101,9999999
370,9267310652,252528544,304150466,9999999
371,277730486,277730488,277730486,9999999
372,305099813,9717574455,305099812,9999999
373,920281633,920272881,920272880,9999999
374,1236041494,450383469,401949156,9999999
375,311075420,356949232,311075420,9999999
376,1200136384,1200136612,399548451,9999999
377,260980545,303199225,303199237,9999999
378,410792701,1092776135,248681293,9999999
379,305092568,305092898,305092570,9999999
380,252938423,305085676,304452310,9999999
381,1342065100,1526175206,10934602827,9999999
382,297382357,297382355,963153250,9999999
383,1641271277,394739374,1641271301,9999999
384,372779567,372782832,1693079586,9999999
385,1236600876,372717177,1236600876,9999999
386,1200136228,372727140,1200136655,9999999
387,320037459,319982167,320037539,9999999
