WKT,id,centroid,modes
"POINT (12.4246747111972 41.8109291879514)",40192,0,"c,h"
"POINT (12.4255137349386 41.81186620157)",40193,0,"c,h"
"POINT (12.4262157531256 41.8128722153508)",40194,0,"c,h"
"POINT (12.4270678227056 41.8078091645608)",40277,0,"c,h"
"POINT (12.4261197564108 41.8119712052629)",40283,0,"c,h"
"POINT (12.426283760932 41.8121702080952)",40463,0,"c,h"
"POINT (12.4269607798266 41.8129612194598)",40602,0,"c,h"
"POINT (12.4270367846832 41.8126882168479)",40625,0,"c,h"
"POINT (12.4283498246119 41.8137882342243)",40651,0,"c,h"
"POINT (12.439429315676 41.8026651615811)",40714,0,"c,h"
"POINT (12.4272917897963 41.8132512239768)",40832,0,"c,h"
"POINT (12.4278128508701 41.8077041665851)",40842,0,"c,h"
"POINT (12.4327449619921 41.8169792871124)",40973,0,"c,h"
"POINT (12.4352830391048 41.8191173208287)",40979,0,"c,h"
"POINT (12.4285638789829 41.8076351690213)",40982,0,"c,h"
"POINT (12.429047907745 41.8061821554621)",40983,0,"c,h"
"POINT (12.4284698796256 41.8070931628018)",41128,0,"c,h"
"POINT (12.428831889139 41.8075941697147)",41129,0,"c,h"
"POINT (12.4286188442099 41.8125032215538)",41139,0,"c,h"
"POINT (12.4287628485485 41.8126292235169)",41140,0,"c,h"
"POINT (12.4289578758794 41.8099611956754)",41141,0,"c,h"
"POINT (12.4300529050701 41.8114222160048)",41142,0,"c,h"
"POINT (12.4294258690245 41.8131432318452)",41167,0,"c,h"
"POINT (12.4287438900095 41.8070511635098)",41186,0,"c,h"
"POINT (12.4291068995068 41.8075591705021)",41187,0,"c,h"
"POINT (12.4290678821807 41.8096621929285)",41223,0,"c,h"
"POINT (12.4290768815515 41.8097891943309)",41224,0,"c,h"
"POINT (12.4287459003378 41.8056941489433)",41240,0,"c,h"
"POINT (12.430907980551 41.8055901569715)",41241,0,"c,h"
"POINT (12.4290588782752 41.8101351979721)",41246,0,"c,h"
"POINT (12.4292648871212 41.8099661970279)",41247,0,"c,h"
"POINT (12.4290528771402 41.8102561992467)",41248,0,"c,h"
"POINT (12.4295109069892 41.8085331826739)",41252,0,"c,h"
"POINT (12.4291378844881 41.8096971936006)",41254,0,"c,h"
"POINT (12.4293439083879 41.8075361712576)",41271,0,"c,h"
"POINT (12.4290379009468 41.8070331645603)",41272,0,"c,h"
"POINT (12.4299879145468 41.8098521988616)",41274,0,"c,h"
"POINT (12.4295959100138 41.8085461831731)",41275,0,"c,h"
"POINT (12.429176894733 41.8085311812395)",41281,0,"c,h"
"POINT (12.4288738836158 41.8085291799361)",41282,0,"c,h"
"POINT (12.4293859031221 41.8084371811138)",41283,0,"c,h"
"POINT (12.4295358969497 41.8099831983569)",41305,0,"c,h"
"POINT (12.4292728982525 41.8085321816563)",41308,0,"c,h"
"POINT (12.4296309190983 41.8075141722354)",41322,0,"c,h"
"POINT (12.4292769099466 41.8070041652598)",41323,0,"c,h"
"POINT (12.4340549815675 41.8207593332907)",41326,0,"c,h"
"POINT (12.4293809022205 41.8085321821132)",41327,0,"c,h"
"POINT (12.4293829026491 41.8084851816167)",41328,0,"c,h"
"POINT (12.4294539056204 41.8084371814015)",41329,0,"c,h"
"POINT (12.4296498760231 41.8133062345445)",41332,0,"c,h"
"POINT (12.4294928721439 41.8130562311938)",41333,0,"c,h"
"POINT (12.4295349085813 41.8084391817656)",41338,0,"c,h"
"POINT (12.4297208792896 41.8132192339099)",41347,0,"c,h"
"POINT (12.4293968690927 41.8129932301106)",41348,0,"c,h"
"POINT (12.4296349122478 41.8084401821994)",41356,0,"c,h"
"POINT (12.4296559153241 41.8081351790118)",41357,0,"c,h"
"POINT (12.4298559274554 41.8075021730583)",41385,0,"c,h"
"POINT (12.4295579205649 41.8069651660296)",41386,0,"c,h"
"POINT (12.4298749246397 41.8079671781336)",41388,0,"c,h"
"POINT (12.4306019058947 41.8139822458363)",41393,0,"c,h"
"POINT (12.4297958815465 41.8132852349365)",41414,0,"c,h"
"POINT (12.430313944471 41.807477174727)",41439,0,"c,h"
"POINT (12.4300549329606 41.8077411764673)",41440,0,"c,h"
"POINT (12.4318749866057 41.8094912029646)",41472,0,"c,h"
"POINT (12.4299039095108 41.8101102012781)",41473,0,"c,h"
"POINT (12.43156296031 41.8114542227356)",41488,0,"c,h"
"POINT (12.4303989226574 41.8107772105382)",41489,0,"c,h"
"POINT (12.4309449680088 41.8074301768911)",41546,0,"c,h"
"POINT (12.4320139557081 41.8142562547533)",41637,0,"c,h"
"POINT (12.432443962826 41.8154052689209)",41659,0,"c,h"
"POINT (12.4334110779522 41.8048691598128)",41702,0,"c,h"
"POINT (12.4320820103559 41.8073541808834)",41709,0,"c,h"
"POINT (12.4317809961544 41.8077701840791)",41710,0,"c,h"
"POINT (12.4359271971567 41.8013231323714)",41762,0,"c,h"
"POINT (12.4313379288429 41.8145242547744)",41809,0,"c,h"
"POINT (12.4321349771788 41.8120032310539)",41851,0,"c,h"
"POINT (12.4319719769322 41.8112432221983)",41852,0,"c,h"
"POINT (12.4317869962087 41.8077921843407)",41906,0,"c,h"
"POINT (12.4317759767273 41.8103172114201)",41914,0,"c,h"
"POINT (12.4317859754627 41.8105332137831)",41915,0,"c,h"
"POINT (12.431982002474 41.8079111864437)",41918,0,"c,h"
"POINT (12.4321080045119 41.8082541906611)",41919,0,"c,h"
"POINT (12.4318549779375 41.8105412141609)",41920,0,"c,h"
"POINT (12.4318289752897 41.8107652164576)",41921,0,"c,h"
"POINT (12.4324769996503 41.8106922184138)",41923,0,"c,h"
"POINT (12.4319179762326 41.8110732201433)",41924,0,"c,h"
"POINT (12.4318519794593 41.8103252118275)",41928,0,"c,h"
"POINT (12.4319089877718 41.8095022032265)",41929,0,"c,h"
"POINT (12.4318799776925 41.8106952159212)",41932,0,"c,h"
"POINT (12.4319149894806 41.8093052011355)",41935,0,"c,h"
"POINT (12.4319639927013 41.809117199323)",41936,0,"c,h"
"POINT (12.4316939816177 41.8092711998356)",41950,0,"c,h"
"POINT (12.4324420189665 41.8079651889691)",41953,0,"c,h"
"POINT (12.4321170025459 41.8085581939649)",41957,0,"c,h"
"POINT (12.4337590338436 41.8124012421982)",41961,0,"c,h"
"POINT (12.4322679811136 41.8121292329702)",41962,0,"c,h"
"POINT (12.4321470128119 41.8073451810616)",41978,0,"c,h"
"POINT (12.4321010039828 41.8082901910183)",41982,0,"c,h"
"POINT (12.4321290034401 41.8084981933711)",41986,0,"c,h"
"POINT (12.4323469854973 41.8119332311983)",41991,0,"c,h"
"POINT (12.4334630501785 41.8087992022458)",41992,0,"c,h"
"POINT (12.4322350161357 41.8073331813049)",41993,0,"c,h"
"POINT (12.4326650365341 41.8067241765818)",41994,0,"c,h"
"POINT (12.4323820161577 41.8080451895747)",41997,0,"c,h"
"POINT (12.4329350424502 41.8072541834164)",42023,0,"c,h"
"POINT (12.4326530357911 41.8067641769607)",42024,0,"c,h"
"POINT (12.4358931209565 41.8112492388421)",42074,0,"c,h"
"POINT (12.4350771031117 41.8096422181264)",42075,0,"c,h"
"POINT (12.4330070410088 41.8077951895322)",42076,0,"c,h"
"POINT (12.4326609701047 41.8154972708275)",42078,0,"c,h"
"POINT (12.4338430127004 41.8156082770191)",42117,0,"c,h"
"POINT (12.4327700429146 41.8063901734383)",42121,0,"c,h"
"POINT (12.4353390424699 41.8189443192056)",42134,0,"c,h"
"POINT (12.4335989993517 41.8161882822214)",42135,0,"c,h"
"POINT (12.434038090406 41.8062701775109)",42139,0,"c,h"
"POINT (12.4329980447724 41.8072531836721)",42164,0,"c,h"
"POINT (12.4340000827713 41.8070961862225)",42181,0,"c,h"
"POINT (12.434211086309 41.8076541931085)",42184,0,"c,h"
"POINT (12.4339679791712 41.820653331783)",42258,0,"c,h"
"POINT (12.4341641108265 41.8041791555864)",42276,0,"c,h"
"POINT (12.4339760156611 41.8158632803223)",42304,0,"c,h"
"POINT (12.4361091019891 41.8148112780336)",42339,0,"c,h"
"POINT (12.4342480277717 41.8155832784629)",42353,0,"c,h"
"POINT (12.4345741047662 41.8069761873604)",42380,0,"c,h"
"POINT (12.4346321146833 41.8059451765316)",42403,0,"c,h"
"POINT (12.4345631127903 41.8058601753269)",42404,0,"c,h"
"POINT (12.4343621188934 41.8040741552959)",42425,0,"c,h"
"POINT (12.4343421189591 41.803968154073)",42426,0,"c,h"
"POINT (12.4346001009483 41.807608194259)",42439,0,"c,h"
"POINT (12.4346740445289 41.8154372786949)",42449,0,"c,h"
"POINT (12.4344041217956 41.8038941535404)",42466,0,"c,h"
"POINT (12.4361251806411 41.8044741670445)",42470,0,"c,h"
"POINT (12.4358821784789 41.803578156395)",42476,0,"c,h"
"POINT (12.4350561346253 41.8053671721162)",42505,0,"c,h"
"POINT (12.434739111221 41.8069241874994)",42508,0,"c,h"
"POINT (12.4346501027098 41.8076181945778)",42515,0,"c,h"
"POINT (12.4351541374403 41.8054711736474)",42542,0,"c,h"
"POINT (12.4352450317542 41.8199053291403)",42544,0,"c,h"
"POINT (12.4349981148459 41.8077041969729)",42546,0,"c,h"
"POINT (12.4353631161726 41.8093042157042)",42547,0,"c,h"
"POINT (12.4350690543145 41.8160632870936)",42557,0,"c,h"
"POINT (12.4352511294804 41.806997190448)",42575,0,"c,h"
"POINT (12.435411131817 41.8074661961623)",42626,0,"c,h"
"POINT (12.4406782868025 41.8125702732601)",42627,0,"c,h"
"POINT (12.4351251376889 41.8052971716561)",42643,0,"c,h"
"POINT (12.4412742194172 41.8243954029086)",42678,0,"c,h"
"POINT (12.43574405211 41.8196383283793)",42679,0,"c,h"
"POINT (12.435766054135 41.8194773267414)",42692,0,"c,h"
"POINT (12.4360700651559 41.8194973282416)",42713,0,"c,h"
"POINT (12.4360311386393 41.8095792214826)",42715,0,"c,h"
"POINT (12.4355471382484 41.8072761946963)",42728,0,"c,h"
"POINT (12.4408182923619 41.8125152732605)",42729,0,"c,h"
"POINT (12.4366901820242 41.8070401969928)",42775,0,"c,h"
"POINT (12.4359160588013 41.8195893285797)",42829,0,"c,h"
"POINT (12.4359721804942 41.8037491586118)",42873,0,"c,h"
"POINT (12.4368972169522 41.8034211589993)",42874,0,"c,h"
