id_detector,timestamp,value,mode,day_type
49685,990,2979.356522,all,weekday
49685,1005,2979.356522,all,weekday
49685,1020,2941.895652,all,weekday
49685,1035,2941.895652,all,weekday
49685,1050,2941.895652,all,weekday
49685,1065,2941.895652,all,weekday
49685,1080,2710.069565,all,weekday
49685,1095,2710.069565,all,weekday
49685,1110,2710.069565,all,weekday
49685,1125,2710.069565,all,weekday
49685,1140,2144.509091,all,weekday
49685,1155,2144.509091,all,weekday
49685,1170,2144.509091,all,weekday
49685,1185,2144.509091,all,weekday
49685,1200,1643.726087,all,weekday
49685,1215,1643.726087,all,weekday
49685,1230,1643.726087,all,weekday
49685,1245,1643.726087,all,weekday
49685,1260,1194.478261,all,weekday
49685,1275,1194.478261,all,weekday
49685,1290,1194.478261,all,weekday
49685,1305,1194.478261,all,weekday
49685,1320,920.5391304,all,weekday
49685,1335,920.5391304,all,weekday
49685,1350,920.5391304,all,weekday
49685,1365,920.5391304,all,weekday
49685,1380,808.9913043,all,weekday
49685,1395,808.9913043,all,weekday
49685,1410,808.9913043,all,weekday
49685,1425,808.9913043,all,weekday
63706,0,588.947619,all,weekday
63706,15,588.947619,all,weekday
63706,30,588.947619,all,weekday
63706,45,588.947619,all,weekday
63706,60,323.2,all,weekday
63706,75,323.2,all,weekday
63706,90,323.2,all,weekday
63706,105,323.2,all,weekday
63706,120,167.1434783,all,weekday
63706,135,167.1434783,all,weekday
63706,150,167.1434783,all,weekday
63706,165,167.1434783,all,weekday
63706,180,208.0695652,all,weekday
63706,195,208.0695652,all,weekday
63706,210,208.0695652,all,weekday
63706,225,208.0695652,all,weekday
63706,240,435.1521739,all,weekday
63706,255,435.1521739,all,weekday
63706,270,435.1521739,all,weekday
63706,285,435.1521739,all,weekday
63706,300,868.2869565,all,weekday
63706,315,868.2869565,all,weekday
63706,330,868.2869565,all,weekday
63706,345,868.2869565,all,weekday
63706,360,1988.734783,all,weekday
63706,375,1988.734783,all,weekday
63706,390,1988.734783,all,weekday
63706,405,1988.734783,all,weekday
63706,420,2677.656522,all,weekday
63706,435,2677.656522,all,weekday
63706,450,2677.656522,all,weekday
63706,465,2677.656522,all,weekday
63706,480,3098.53913,all,weekday
63706,495,3098.53913,all,weekday
63706,510,3098.53913,all,weekday
63706,525,3098.53913,all,weekday
63706,540,2941.604348,all,weekday
63706,555,2941.604348,all,weekday
63706,570,2941.604348,all,weekday
63706,585,2941.604348,all,weekday
63706,600,2607.578261,all,weekday
63706,615,2607.578261,all,weekday
63706,630,2607.578261,all,weekday
63706,645,2607.578261,all,weekday
63706,660,2596.547826,all,weekday
63706,675,2596.547826,all,weekday
63706,690,2596.547826,all,weekday
63706,705,2596.547826,all,weekday
63706,720,2669.06087,all,weekday
63706,735,2669.06087,all,weekday
63706,750,2669.06087,all,weekday
63706,765,2669.06087,all,weekday
63706,780,2267.613043,all,weekday
63706,795,2267.613043,all,weekday
63706,810,2267.613043,all,weekday
63706,825,2267.613043,all,weekday
63706,840,2391.147826,all,weekday
63706,855,2391.147826,all,weekday
63706,870,2391.147826,all,weekday
63706,885,2391.147826,all,weekday
63706,900,2224.756522,all,weekday
63706,915,2224.756522,all,weekday
63706,930,2224.756522,all,weekday
63706,945,2224.756522,all,weekday
63706,960,1927.473913,all,weekday
63706,975,1927.473913,all,weekday
63706,990,1927.473913,all,weekday
63706,1005,1927.473913,all,weekday
63706,1020,1686.078261,all,weekday
63706,1035,1686.078261,all,weekday
63706,1050,1686.078261,all,weekday
63706,1065,1686.078261,all,weekday
63706,1080,1595.743478,all,weekday
63706,1095,1595.743478,all,weekday
63706,1110,1595.743478,all,weekday
63706,1125,1595.743478,all,weekday
63706,1140,1774.730435,all,weekday
63706,1155,1774.730435,all,weekday
63706,1170,1774.730435,all,weekday
63706,1185,1774.730435,all,weekday
63706,1200,1700.13913,all,weekday
63706,1215,1700.13913,all,weekday
63706,1230,1700.13913,all,weekday
63706,1245,1700.13913,all,weekday
63706,1260,1394.173913,all,weekday
63706,1275,1394.173913,all,weekday
63706,1290,1394.173913,all,weekday
63706,1305,1394.173913,all,weekday
63706,1320,1181.191304,all,weekday
63706,1335,1181.191304,all,weekday
63706,1350,1181.191304,all,weekday
63706,1365,1181.191304,all,weekday
63706,1380,1171.265217,all,weekday
63706,1395,1171.265217,all,weekday
63706,1410,1171.265217,all,weekday
63706,1425,1171.265217,all,weekday
63626,0,246.7105263,all,weekday
63626,15,246.7105263,all,weekday
63626,30,246.7105263,all,weekday
63626,45,246.7105263,all,weekday
63626,60,157.8421053,all,weekday
63626,75,157.8421053,all,weekday
63626,90,157.8421053,all,weekday
63626,105,157.8421053,all,weekday
63626,120,97.32857143,all,weekday
63626,135,97.32857143,all,weekday
63626,150,97.32857143,all,weekday
63626,165,97.32857143,all,weekday
63626,180,130.0590909,all,weekday
63626,195,130.0590909,all,weekday
63626,210,130.0590909,all,weekday
63626,225,130.0590909,all,weekday
63626,240,240.3619048,all,weekday
63626,255,240.3619048,all,weekday
63626,270,240.3619048,all,weekday
63626,285,240.3619048,all,weekday
63626,300,566.465,all,weekday
63626,315,566.465,all,weekday
63626,330,566.465,all,weekday
63626,345,566.465,all,weekday
63626,360,1159.919048,all,weekday
63626,375,1159.919048,all,weekday
63626,390,1159.919048,all,weekday
63626,405,1159.919048,all,weekday
63626,420,1301.347619,all,weekday
63626,435,1301.347619,all,weekday
63626,450,1301.347619,all,weekday
63626,465,1301.347619,all,weekday
63626,480,1173.285714,all,weekday
63626,495,1173.285714,all,weekday
63626,510,1173.285714,all,weekday
63626,525,1173.285714,all,weekday
63626,540,1076.92381,all,weekday
63626,555,1076.92381,all,weekday
63626,570,1076.92381,all,weekday
63626,585,1076.92381,all,weekday
63626,600,1070.114286,all,weekday
63626,615,1070.114286,all,weekday
63626,630,1070.114286,all,weekday
63626,645,1070.114286,all,weekday
63626,660,1031.304762,all,weekday
63626,675,1031.304762,all,weekday
63626,690,1031.304762,all,weekday
63626,705,1031.304762,all,weekday
63626,720,1080.619048,all,weekday
63626,735,1080.619048,all,weekday
63626,750,1080.619048,all,weekday
63626,765,1080.619048,all,weekday
63626,780,1059.833333,all,weekday
63626,795,1059.833333,all,weekday
63626,810,1059.833333,all,weekday
63626,825,1059.833333,all,weekday
63626,840,1000.814286,all,weekday
63626,855,1000.814286,all,weekday
63626,870,1000.814286,all,weekday
63626,885,1000.814286,all,weekday
63626,900,1024.528571,all,weekday
63626,915,1024.528571,all,weekday
63626,930,1024.528571,all,weekday
63626,945,1024.528571,all,weekday
63626,960,1061.509524,all,weekday
63626,975,1061.509524,all,weekday
63626,990,1061.509524,all,weekday
63626,1005,1061.509524,all,weekday
63626,1020,1076.157143,all,weekday
63626,1035,1076.157143,all,weekday
63626,1050,1076.157143,all,weekday
63626,1065,1076.157143,all,weekday
63626,1080,1097.342857,all,weekday
63626,1095,1097.342857,all,weekday
63626,1110,1097.342857,all,weekday
63626,1125,1097.342857,all,weekday
63626,1140,1034.409524,all,weekday
63626,1155,1034.409524,all,weekday
63626,1170,1034.409524,all,weekday
63626,1185,1034.409524,all,weekday
63626,1200,878.3285714,all,weekday
63626,1215,878.3285714,all,weekday
63626,1230,878.3285714,all,weekday
